Year,State,Educational Attainment,Totals
2018,IN,Children under 15,1286.0
2018,IN,No high school diploma,769.0
2018,IN,High school or equivalent,1698.0
2018,IN,"Some college, less than 4-yr degree",1491.0
2018,IN,Bachelor's degree or higher,1306.0
2018,IA,Totals,3055.0
2018,IA,Educational Attainment,
2018,IA,Children under 15,602.0
2018,IA,No high school diploma,287.0
2018,IA,High school or equivalent,689.0
2018,IA,"Some college, less than 4-yr degree",791.0
2018,IA,Bachelor's degree or higher,686.0
2018,KS,Totals,2876.0
2018,KS,Educational Attainment,
2018,KS,Children under 15,603.0
2018,KS,No high school diploma,329.0
2018,KS,High school or equivalent,601.0
2018,KS,"Some college, less than 4-yr degree",633.0
2018,KS,Bachelor's degree or higher,709.0
2018,KY,Totals,4409.0
2018,KY,Educational Attainment,
2018,KY,Children under 15,832.0
2018,KY,No high school diploma,632.0
2018,KY,High school or equivalent,1128.0
2018,KY,"Some college, less than 4-yr degree",992.0
2018,KY,Bachelor's degree or higher,824.0
2018,LA,Totals,4546.0
2018,LA,Educational Attainment,
2018,LA,Children under 15,913.0
2018,LA,No high school diploma,705.0
2018,LA,High school or equivalent,1175.0
2018,LA,"Some college, less than 4-yr degree",1002.0
2018,LA,Bachelor's degree or higher,752.0
2018,ME,Totals,1319.0
2018,ME,Educational Attainment,
2018,ME,Children under 15,210.0
2018,ME,No high school diploma,125.0
2018,ME,High school or equivalent,383.0
2018,ME,"Some college, less than 4-yr degree",292.0
2018,ME,Bachelor's degree or higher,309.0
2018,MD,Totals,5981.0
2018,MD,Educational Attainment,
2018,MD,Children under 15,1128.0
2018,MD,No high school diploma,603.0
2018,MD,High school or equivalent,1095.0
2018,MD,"Some college, less than 4-yr degree",1214.0
2018,MD,Bachelor's degree or higher,1940.0
2018,MA,Totals,6813.0
2018,MA,Educational Attainment,
2018,MA,Children under 15,1112.0
2018,MA,No high school diploma,662.0
2018,MA,High school or equivalent,1477.0
2018,MA,"Some college, less than 4-yr degree",1234.0
2018,MA,Bachelor's degree or higher,2328.0
2018,MI,Totals,9911.0
2018,MI,Educational Attainment,
2018,MI,Children under 15,1786.0
2018,MI,No high school diploma,1088.0
2018,MI,High school or equivalent,2215.0
2018,MI,"Some college, less than 4-yr degree",2338.0
2018,MI,Bachelor's degree or higher,2483.0
2018,MN,Totals,5622.0
2018,MN,Educational Attainment,
2018,MN,Children under 15,1099.0
2018,MN,No high school diploma,535.0
2018,MN,High school or equivalent,1142.0
2018,MN,"Some college, less than 4-yr degree",1483.0
2018,MN,Bachelor's degree or higher,1363.0
2018,MS,Totals,2951.0
2018,MS,Educational Attainment,
2018,MS,Children under 15,585.0
2018,MS,No high school diploma,457.0
2018,MS,High school or equivalent,702.0
2018,MS,"Some college, less than 4-yr degree",713.0
2018,MS,Bachelor's degree or higher,494.0
2018,MO,Totals,5992.0
2018,MO,Educational Attainment,
2018,MO,Children under 15,1156.0
2018,MO,No high school diploma,687.0
2018,MO,High school or equivalent,1486.0
2018,MO,"Some college, less than 4-yr degree",1284.0
2018,MO,Bachelor's degree or higher,1378.0
2018,MT,Totals,1040.0
2018,MT,Educational Attainment,
2018,MT,Children under 15,194.0
2018,MT,No high school diploma,84.0
2018,MT,High school or equivalent,245.0
2018,MT,"Some college, less than 4-yr degree",263.0
2018,MT,Bachelor's degree or higher,255.0
2018,NE,Totals,1878.0
2018,NE,Educational Attainment,
2018,NE,Children under 15,396.0
2018,NE,No high school diploma,231.0
2018,NE,High school or equivalent,396.0
2018,NE,"Some college, less than 4-yr degree",444.0
2018,NE,Bachelor's degree or higher,411.0
2018,NV,Totals,2988.0
2018,NV,Educational Attainment,
2018,NV,Children under 15,570.0
2018,NV,No high school diploma,368.0
2018,NV,High school or equivalent,781.0
2018,NV,"Some college, less than 4-yr degree",775.0
2018,NV,Bachelor's degree or higher,494.0
2018,NH,Totals,1336.0
2018,NH,Educational Attainment,
2018,NH,Children under 15,211.0
2018,NH,No high school diploma,110.0
2018,NH,High school or equivalent,346.0
2018,NH,"Some college, less than 4-yr degree",268.0
2018,NH,Bachelor's degree or higher,401.0
2018,NJ,Totals,9023.0
2018,NJ,Educational Attainment,
2018,NJ,Children under 15,1647.0
2018,NJ,No high school diploma,884.0
2018,NJ,High school or equivalent,2075.0
2018,NJ,"Some college, less than 4-yr degree",1650.0
2018,NJ,Bachelor's degree or higher,2767.0
2018,NM,Totals,2045.0
2018,NM,Educational Attainment,
2018,NM,Children under 15,409.0
2018,NM,No high school diploma,274.0
2018,NM,High school or equivalent,479.0
2018,NM,"Some college, less than 4-yr degree",489.0
2018,NM,Bachelor's degree or higher,393.0
2018,NY,Totals,19756.0
2018,NY,Educational Attainment,
2018,NY,Children under 15,3462.0
2018,NY,No high school diploma,2302.0
2018,NY,High school or equivalent,4380.0
2018,NY,"Some college, less than 4-yr degree",3670.0
2018,NY,Bachelor's degree or higher,5941.0
2018,NC,Totals,10309.0
2018,NC,Educational Attainment,
2018,NC,Children under 15,1897.0
2018,NC,No high school diploma,1363.0
2018,NC,High school or equivalent,2164.0
2018,NC,"Some college, less than 4-yr degree",2394.0
2018,NC,Bachelor's degree or higher,2491.0
2018,ND,Totals,743.0
2018,ND,Educational Attainment,
2018,ND,Children under 15,149.0
2018,ND,No high school diploma,68.0
2018,ND,High school or equivalent,173.0
2018,ND,"Some college, less than 4-yr degree",192.0
2018,ND,Bachelor's degree or higher,160.0
2018,OH,Totals,11532.0
2018,OH,Educational Attainment,
2018,OH,Children under 15,2166.0
2018,OH,No high school diploma,1143.0
2018,OH,High school or equivalent,3120.0
2018,OH,"Some college, less than 4-yr degree",2529.0
2018,OH,Bachelor's degree or higher,2573.0
2018,OK,Totals,3828.0
2018,OK,Educational Attainment,
2018,OK,Children under 15,793.0
2018,OK,No high school diploma,523.0
2018,OK,High school or equivalent,946.0
2018,OK,"Some college, less than 4-yr degree",806.0
2018,OK,Bachelor's degree or higher,759.0
2018,OR,Totals,4212.0
2018,OR,Educational Attainment,
2018,OR,Children under 15,732.0
2018,OR,No high school diploma,442.0
2018,OR,High school or equivalent,809.0
2018,OR,"Some college, less than 4-yr degree",1091.0
2018,OR,Bachelor's degree or higher,1137.0
2018,PA,Totals,12599.0
2018,PA,Educational Attainment,
2018,PA,Children under 15,2227.0
2018,PA,No high school diploma,1481.0
2018,PA,High school or equivalent,3391.0
2018,PA,"Some college, less than 4-yr degree",2320.0
2018,PA,Bachelor's degree or higher,3179.0
2018,RI,Totals,1047.0
2018,RI,Educational Attainment,
2018,RI,Children under 15,169.0
2018,RI,No high school diploma,133.0
2018,RI,High school or equivalent,243.0
2018,RI,"Some college, less than 4-yr degree",231.0
2018,RI,Bachelor's degree or higher,270.0
2018,SC,Totals,4971.0
2018,SC,Educational Attainment,
2018,SC,Children under 15,913.0
2018,SC,No high school diploma,588.0
2018,SC,High school or equivalent,1206.0
2018,SC,"Some college, less than 4-yr degree",1112.0
2018,SC,Bachelor's degree or higher,1151.0
2018,SD,Totals,871.0
2018,SD,Educational Attainment,
2018,SD,Children under 15,180.0
2018,SD,No high school diploma,112.0
2018,SD,High school or equivalent,210.0
2018,SD,"Some college, less than 4-yr degree",194.0
2018,SD,Bachelor's degree or higher,176.0
2018,TN,Totals,6707.0
2018,TN,Educational Attainment,
2018,TN,Children under 15,1262.0
2018,TN,No high school diploma,735.0
2018,TN,High school or equivalent,1625.0
2018,TN,"Some college, less than 4-yr degree",1531.0
2018,TN,Bachelor's degree or higher,1554.0
2018,TX,Totals,28101.0
2018,TX,Educational Attainment,
2018,TX,Children under 15,6153.0
2018,TX,No high school diploma,4320.0
2018,TX,High school or equivalent,5557.0
2018,TX,"Some college, less than 4-yr degree",6024.0
2018,TX,Bachelor's degree or higher,6047.0
2018,UT,Totals,3131.0
2018,UT,Educational Attainment,
2018,UT,Children under 15,769.0
2018,UT,No high school diploma,320.0
2018,UT,High school or equivalent,584.0
2018,UT,"Some college, less than 4-yr degree",786.0
2018,UT,Bachelor's degree or higher,672.0
2018,VT,Totals,614.0
2018,VT,Educational Attainment,
2018,VT,Children under 15,95.0
2018,VT,No high school diploma,60.0
2018,VT,High school or equivalent,154.0
2018,VT,"Some college, less than 4-yr degree",119.0
2018,VT,Bachelor's degree or higher,185.0
2018,VA,Totals,8262.0
2018,VA,Educational Attainment,
2018,VA,Children under 15,1542.0
2018,VA,No high school diploma,982.0
2018,VA,High school or equivalent,1564.0
2018,VA,"Some college, less than 4-yr degree",1615.0
2018,VA,Bachelor's degree or higher,2558.0
2018,WA,Totals,7438.0
2018,WA,Educational Attainment,
2018,WA,Children under 15,1371.0
2018,WA,No high school diploma,770.0
2018,WA,High school or equivalent,1444.0
2018,WA,"Some college, less than 4-yr degree",1835.0
2018,WA,Bachelor's degree or higher,2019.0
2018,WV,Totals,1798.0
2018,WV,Educational Attainment,
2018,WV,Children under 15,301.0
2018,WV,No high school diploma,248.0
2018,WV,High school or equivalent,611.0
2018,WV,"Some college, less than 4-yr degree",369.0
2018,WV,Bachelor's degree or higher,268.0
2018,WI,Totals,5829.0
2018,WI,Educational Attainment,
2018,WI,Children under 15,1045.0
2018,WI,No high school diploma,620.0
2018,WI,High school or equivalent,1551.0
2018,WI,"Some college, less than 4-yr degree",1452.0
2018,WI,Bachelor's degree or higher,1161.0
2018,WY,Totals,562.0
2018,WY,Educational Attainment,
2018,WY,Children under 15,113.0
2018,WY,No high school diploma,54.0
2018,WY,High school or equivalent,148.0
2018,WY,"Some college, less than 4-yr degree",149.0
2018,WY,Bachelor's degree or higher,98.0
2017,Total US,Totals,320372.0
2017,Total US,Educational Attainment,
2017,Total US,Children under 15,60969.0
2017,Total US,No high school diploma,39835.0
2017,Total US,High school or equivalent,71403.0
2017,Total US,"Some college, less than 4-yr degree",70670.0
2017,Total US,Bachelor's degree or higher,77496.0
2017,AL,Totals,4834.0
2017,AL,Educational Attainment,
2017,AL,Children under 15,907.0
2017,AL,No high school diploma,681.0
2017,AL,High school or equivalent,1266.0
2017,AL,"Some college, less than 4-yr degree",1075.0
2017,AL,Bachelor's degree or higher,904.0
2017,AK,Totals,711.0
2017,AK,Educational Attainment,
2017,AK,Children under 15,160.0
2017,AK,No high school diploma,74.0
2017,AK,High school or equivalent,171.0
2017,AK,"Some college, less than 4-yr degree",160.0
2017,AK,Bachelor's degree or higher,147.0
2017,AZ,Totals,6890.0
2017,AZ,Educational Attainment,
2017,AZ,Children under 15,1361.0
2017,AZ,No high school diploma,995.0
2017,AZ,High school or equivalent,1266.0
2017,AZ,"Some college, less than 4-yr degree",1709.0
2017,AZ,Bachelor's degree or higher,1560.0
2017,AR,Totals,2945.0
2017,AR,Educational Attainment,
2017,AR,Children under 15,578.0
2017,AR,No high school diploma,425.0
2017,AR,High school or equivalent,770.0
2017,AR,"Some college, less than 4-yr degree",683.0
2017,AR,Bachelor's degree or higher,488.0
2017,CA,Totals,39188.0
2017,CA,Educational Attainment,
2017,CA,Children under 15,7520.0
2017,CA,No high school diploma,6035.0
2017,CA,High school or equivalent,7166.0
2017,CA,"Some college, less than 4-yr degree",8825.0
2017,CA,Bachelor's degree or higher,9643.0
2017,CO,Totals,5509.0
2017,CO,Educational Attainment,
2017,CO,Children under 15,1056.0
2017,CO,No high school diploma,468.0
2017,CO,High school or equivalent,1040.0
2017,CO,"Some college, less than 4-yr degree",1218.0
2017,CO,Bachelor's degree or higher,1728.0
2017,CT,Totals,3570.0
2017,CT,Educational Attainment,
2017,CT,Children under 15,609.0
2017,CT,No high school diploma,409.0
2017,CT,High school or equivalent,769.0
2017,CT,"Some college, less than 4-yr degree",671.0
2017,CT,Bachelor's degree or higher,1112.0
2017,DE,Totals,948.0
2017,DE,Educational Attainment,
2017,DE,Children under 15,166.0
2017,DE,No high school diploma,115.0
2017,DE,High school or equivalent,288.0
2017,DE,"Some college, less than 4-yr degree",175.0
2017,DE,Bachelor's degree or higher,203.0
2017,DC,Totals,686.0
2017,DC,Educational Attainment,
2017,DC,Children under 15,107.0
2017,DC,No high school diploma,54.0
2017,DC,High school or equivalent,114.0
2017,DC,"Some college, less than 4-yr degree",84.0
2017,DC,Bachelor's degree or higher,327.0
2017,FL,Totals,20545.0
2017,FL,Educational Attainment,
2017,FL,Children under 15,3416.0
2017,FL,No high school diploma,2356.0
2017,FL,High school or equivalent,5003.0
2017,FL,"Some college, less than 4-yr degree",4911.0
2017,FL,Bachelor's degree or higher,4860.0
2017,GA,Totals,10281.0
2017,GA,Educational Attainment,
2017,GA,Children under 15,2112.0
2017,GA,No high school diploma,1320.0
2017,GA,High school or equivalent,2420.0
2017,GA,"Some college, less than 4-yr degree",2008.0
2017,GA,Bachelor's degree or higher,2420.0
2017,HI,Totals,1392.0
2017,HI,Educational Attainment,
2017,HI,Children under 15,261.0
2017,HI,No high school diploma,122.0
2017,HI,High school or equivalent,333.0
2017,HI,"Some college, less than 4-yr degree",328.0
2017,HI,Bachelor's degree or higher,348.0
2017,ID,Totals,1679.0
2017,ID,Educational Attainment,
2017,ID,Children under 15,364.0
2017,ID,No high school diploma,191.0
2017,ID,High school or equivalent,335.0
2017,ID,"Some college, less than 4-yr degree",450.0
2017,ID,Bachelor's degree or higher,339.0
2017,IL,Totals,12607.0
2017,IL,Educational Attainment,
2017,IL,Children under 15,2395.0
2017,IL,No high school diploma,1338.0
2017,IL,High school or equivalent,2740.0
2017,IL,"Some college, less than 4-yr degree",2741.0
2017,IL,Bachelor's degree or higher,3394.0
2017,IN,Totals,6503.0
2017,IN,Educational Attainment,
2017,IN,Children under 15,1291.0
2017,IN,No high school diploma,817.0
2017,IN,High school or equivalent,1640.0
2017,IN,"Some college, less than 4-yr degree",1375.0
2017,IN,Bachelor's degree or higher,1379.0
2017,IA,Totals,3106.0
2017,IA,Educational Attainment,
2017,IA,Children under 15,596.0
2017,IA,No high school diploma,276.0
2017,IA,High school or equivalent,714.0
2017,IA,"Some college, less than 4-yr degree",800.0
2017,IA,Bachelor's degree or higher,719.0
2017,KS,Totals,2865.0
2017,KS,Educational Attainment,
2017,KS,Children under 15,598.0
2017,KS,No high school diploma,325.0
2017,KS,High school or equivalent,588.0
2017,KS,"Some college, less than 4-yr degree",689.0
2017,KS,Bachelor's degree or higher,665.0
2017,KY,Totals,4388.0
2017,KY,Educational Attainment,
2017,KY,Children under 15,829.0
2017,KY,No high school diploma,638.0
2017,KY,High school or equivalent,1145.0
2017,KY,"Some college, less than 4-yr degree",1003.0
2017,KY,Bachelor's degree or higher,773.0
2017,LA,Totals,4578.0
2017,LA,Educational Attainment,
2017,LA,Children under 15,928.0
2017,LA,No high school diploma,735.0
2017,LA,High school or equivalent,1162.0
2017,LA,"Some college, less than 4-yr degree",955.0
2017,LA,Bachelor's degree or higher,799.0
2017,ME,Totals,1322.0
2017,ME,Educational Attainment,
2017,ME,Children under 15,210.0
2017,ME,No high school diploma,133.0
2017,ME,High school or equivalent,370.0
2017,ME,"Some college, less than 4-yr degree",292.0
2017,ME,Bachelor's degree or higher,317.0
2017,MD,Totals,5933.0
2017,MD,Educational Attainment,
2017,MD,Children under 15,1122.0
2017,MD,No high school diploma,610.0
2017,MD,High school or equivalent,1203.0
2017,MD,"Some college, less than 4-yr degree",1186.0
2017,MD,Bachelor's degree or higher,1812.0
2017,MA,Totals,6780.0
2017,MA,Educational Attainment,
2017,MA,Children under 15,1136.0
2017,MA,No high school diploma,646.0
2017,MA,High school or equivalent,1377.0
2017,MA,"Some college, less than 4-yr degree",1272.0
2017,MA,Bachelor's degree or higher,2348.0
2017,MI,Totals,9893.0
2017,MI,Educational Attainment,
2017,MI,Children under 15,1769.0
2017,MI,No high school diploma,987.0
2017,MI,High school or equivalent,2336.0
2017,MI,"Some college, less than 4-yr degree",2449.0
2017,MI,Bachelor's degree or higher,2353.0
2017,MN,Totals,5437.0
2017,MN,Educational Attainment,
2017,MN,Children under 15,1069.0
2017,MN,No high school diploma,599.0
2017,MN,High school or equivalent,1036.0
2017,MN,"Some college, less than 4-yr degree",1390.0
2017,MN,Bachelor's degree or higher,1342.0
2017,MS,Totals,2948.0
2017,MS,Educational Attainment,
2017,MS,Children under 15,596.0
2017,MS,No high school diploma,408.0
2017,MS,High school or equivalent,720.0
2017,MS,"Some college, less than 4-yr degree",776.0
2017,MS,Bachelor's degree or higher,447.0
2017,MO,Totals,5889.0
2017,MO,Educational Attainment,
2017,MO,Children under 15,1134.0
2017,MO,No high school diploma,739.0
2017,MO,High school or equivalent,1436.0
2017,MO,"Some college, less than 4-yr degree",1297.0
2017,MO,Bachelor's degree or higher,1282.0
2017,MT,Totals,1036.0
2017,MT,Educational Attainment,
2017,MT,Children under 15,188.0
2017,MT,No high school diploma,87.0
2017,MT,High school or equivalent,232.0
2017,MT,"Some college, less than 4-yr degree",275.0
2017,MT,Bachelor's degree or higher,253.0
2017,NE,Totals,1876.0
2017,NE,Educational Attainment,
2017,NE,Children under 15,391.0
2017,NE,No high school diploma,199.0
2017,NE,High school or equivalent,362.0
2017,NE,"Some college, less than 4-yr degree",474.0
2017,NE,Bachelor's degree or higher,450.0
2017,NV,Totals,2943.0
2017,NV,Educational Attainment,
2017,NV,Children under 15,561.0
2017,NV,No high school diploma,350.0
2017,NV,High school or equivalent,836.0
2017,NV,"Some college, less than 4-yr degree",699.0
2017,NV,Bachelor's degree or higher,498.0
2017,NH,Totals,1318.0
2017,NH,Educational Attainment,
2017,NH,Children under 15,207.0
2017,NH,No high school diploma,119.0
2017,NH,High school or equivalent,328.0
2017,NH,"Some college, less than 4-yr degree",274.0
2017,NH,Bachelor's degree or higher,390.0
2017,NJ,Totals,8852.0
2017,NJ,Educational Attainment,
2017,NJ,Children under 15,1632.0
2017,NJ,No high school diploma,824.0
2017,NJ,High school or equivalent,2028.0
2017,NJ,"Some college, less than 4-yr degree",1683.0
2017,NJ,Bachelor's degree or higher,2683.0
2017,NM,Totals,2045.0
2017,NM,Educational Attainment,
2017,NM,Children under 15,402.0
2017,NM,No high school diploma,302.0
2017,NM,High school or equivalent,475.0
2017,NM,"Some college, less than 4-yr degree",476.0
2017,NM,Bachelor's degree or higher,390.0
2017,NY,Totals,19482.0
2017,NY,Educational Attainment,
2017,NY,Children under 15,3478.0
2017,NY,No high school diploma,2452.0
2017,NY,High school or equivalent,4234.0
2017,NY,"Some college, less than 4-yr degree",3792.0
2017,NY,Bachelor's degree or higher,5526.0
2017,NC,Totals,10068.0
2017,NC,Educational Attainment,
2017,NC,Children under 15,1916.0
2017,NC,No high school diploma,1287.0
2017,NC,High school or equivalent,2133.0
2017,NC,"Some college, less than 4-yr degree",2353.0
2017,NC,Bachelor's degree or higher,2379.0
2017,ND,Totals,749.0
2017,ND,Educational Attainment,
2017,ND,Children under 15,151.0
2017,ND,No high school diploma,69.0
2017,ND,High school or equivalent,171.0
2017,ND,"Some college, less than 4-yr degree",188.0
2017,ND,Bachelor's degree or higher,171.0
2017,OH,Totals,11469.0
2017,OH,Educational Attainment,
2017,OH,Children under 15,2146.0
2017,OH,No high school diploma,1170.0
2017,OH,High school or equivalent,3093.0
2017,OH,"Some college, less than 4-yr degree",2611.0
2017,OH,Bachelor's degree or higher,2448.0
2017,OK,Totals,3921.0
2017,OK,Educational Attainment,
2017,OK,Children under 15,807.0
2017,OK,No high school diploma,518.0
2017,OK,High school or equivalent,975.0
2017,OK,"Some college, less than 4-yr degree",787.0
2017,OK,Bachelor's degree or higher,833.0
2017,OR,Totals,4130.0
2017,OR,Educational Attainment,
2017,OR,Children under 15,720.0
2017,OR,No high school diploma,458.0
2017,OR,High school or equivalent,819.0
2017,OR,"Some college, less than 4-yr degree",1069.0
2017,OR,Bachelor's degree or higher,1065.0
2017,PA,Totals,12558.0
2017,PA,Educational Attainment,
2017,PA,Children under 15,2198.0
2017,PA,No high school diploma,1347.0
2017,PA,High school or equivalent,3563.0
2017,PA,"Some college, less than 4-yr degree",2471.0
2017,PA,Bachelor's degree or higher,2979.0
2017,RI,Totals,1054.0
2017,RI,Educational Attainment,
2017,RI,Children under 15,166.0
2017,RI,No high school diploma,137.0
2017,RI,High school or equivalent,217.0
2017,RI,"Some college, less than 4-yr degree",221.0
2017,RI,Bachelor's degree or higher,314.0
2017,SC,Totals,4908.0
2017,SC,Educational Attainment,
2017,SC,Children under 15,923.0
2017,SC,No high school diploma,646.0
2017,SC,High school or equivalent,993.0
2017,SC,"Some college, less than 4-yr degree",1188.0
2017,SC,Bachelor's degree or higher,1159.0
2017,SD,Totals,855.0
2017,SD,Educational Attainment,
2017,SD,Children under 15,179.0
2017,SD,No high school diploma,95.0
2017,SD,High school or equivalent,216.0
2017,SD,"Some college, less than 4-yr degree",194.0
2017,SD,Bachelor's degree or higher,171.0
2017,TN,Totals,6674.0
2017,TN,Educational Attainment,
2017,TN,Children under 15,1262.0
2017,TN,No high school diploma,782.0
2017,TN,High school or equivalent,1727.0
2017,TN,"Some college, less than 4-yr degree",1448.0
2017,TN,Bachelor's degree or higher,1456.0
2017,TX,Totals,27677.0
2017,TX,Educational Attainment,
2017,TX,Children under 15,6139.0
2017,TX,No high school diploma,4260.0
2017,TX,High school or equivalent,5639.0
2017,TX,"Some college, less than 4-yr degree",5862.0
2017,TX,Bachelor's degree or higher,5777.0
2017,UT,Totals,3080.0
2017,UT,Educational Attainment,
2017,UT,Children under 15,763.0
2017,UT,No high school diploma,331.0
2017,UT,High school or equivalent,560.0
2017,UT,"Some college, less than 4-yr degree",765.0
2017,UT,Bachelor's degree or higher,661.0
2017,VT,Totals,623.0
2017,VT,Educational Attainment,
2017,VT,Children under 15,96.0
2017,VT,No high school diploma,61.0
2017,VT,High school or equivalent,165.0
2017,VT,"Some college, less than 4-yr degree",122.0
2017,VT,Bachelor's degree or higher,178.0
2017,VA,Totals,8175.0
2017,VA,Educational Attainment,
2017,VA,Children under 15,1537.0
2017,VA,No high school diploma,966.0
2017,VA,High school or equivalent,1542.0
2017,VA,"Some college, less than 4-yr degree",1681.0
2017,VA,Bachelor's degree or higher,2449.0
2017,WA,Totals,7297.0
2017,WA,Educational Attainment,
2017,WA,Children under 15,1356.0
2017,WA,No high school diploma,885.0
2017,WA,High school or equivalent,1436.0
2017,WA,"Some college, less than 4-yr degree",1692.0
2017,WA,Bachelor's degree or higher,1927.0
2017,WV,Totals,1814.0
2017,WV,Educational Attainment,
2017,WV,Children under 15,301.0
2017,WV,No high school diploma,278.0
2017,WV,High school or equivalent,591.0
2017,WV,"Some college, less than 4-yr degree",346.0
2017,WV,Bachelor's degree or higher,298.0
2017,WI,Totals,5766.0
2017,WI,Educational Attainment,
2017,WI,Children under 15,1040.0
2017,WI,No high school diploma,655.0
2017,WI,High school or equivalent,1513.0
2017,WI,"Some college, less than 4-yr degree",1325.0
2017,WI,Bachelor's degree or higher,1233.0
2017,WY,Totals,572.0
2017,WY,Educational Attainment,
2017,WY,Children under 15,118.0
2017,WY,No high school diploma,58.0
2017,WY,High school or equivalent,146.0
2017,WY,"Some college, less than 4-yr degree",150.0
2017,WY,Bachelor's degree or higher,99.0
2016,Total US,Totals,318868.0
2016,Total US,Educational Attainment,
2016,Total US,Children under 15,60965.0
2016,Total US,No high school diploma,41329.0
2016,Total US,High school or equivalent,71111.0
2016,Total US,"Some college, less than 4-yr degree",70304.0
2016,Total US,Bachelor's degree or higher,75159.0
2016,AL,Totals,4834.0
2016,AL,Educational Attainment,
2016,AL,Children under 15,909.0
2016,AL,No high school diploma,760.0
2016,AL,High school or equivalent,1247.0
2016,AL,"Some college, less than 4-yr degree",1073.0
2016,AL,Bachelor's degree or higher,845.0
2016,AK,Totals,705.0
2016,AK,Educational Attainment,
2016,AK,Children under 15,155.0
2016,AK,No high school diploma,69.0
2016,AK,High school or equivalent,164.0
2016,AK,"Some college, less than 4-yr degree",162.0
2016,AK,Bachelor's degree or higher,156.0
