,State,Employed per 1k,% Employed,Unemployed per 1k,% Unemployed,Year
44,Utah,58,36.3,15,20.5,2010
45,Vermont,14,41.6,2,14.2,2010
46,Virginia,124,28.2,37,23.2,2010
47,Washington,87,26.7,45,34.1,2010
48,West Virginia,23,23.3,8,26.9,2010
49,Wisconsin,117,39.9,28,19.2,2010
50,Wyoming,12,39.5,3,20.3,2010
51,Alabama,65,24.9,18,21.9,2011
52,Alaska,14,31.9,4,20.4,2011
53,Arizona,83,23.9,28,25.3,2011
54,Arkansas,42,32.8,11,20.8,2011
55,California,371,17.1,201,35.2,2011
56,Colorado,77,29.5,27,25.8,2011
57,Connecticut,59,28.0,18,23.0,2011
58,Delaware,15,29.1,4,19.7,2011
59,District of Columbia,3,13.2,3,46.7,2011
60,Florida,160,18.2,64,28.6,2011
61,Georgia,104,19.0,43,29.0,2011
62,Hawaii,15,21.5,4,19.7,2011
63,Idaho,24,28.8,10,29.9,2011
64,Illinois,182,26.6,59,24.6,2011
65,Indiana,107,28.1,26,19.7,2011
66,Iowa,67,42.0,11,14.2,2011
67,Kansas,50,36.2,10,16.0,2011
68,Kentucky,60,26.0,21,25.8,2011
69,Louisiana,61,22.4,23,27.2,2011
70,Maine,26,37.9,7,20.5,2011
71,Maryland,84,28.0,18,17.7,2011
72,Massachusetts,125,32.6,23,15.5,2011
73,Michigan,169,28.5,54,24.2,2011
74,Minnesota,122,41.8,29,19.1,2011
75,Mississippi,43,22.7,13,23.4,2011
76,Missouri,94,31.2,46,32.7,2011
77,Montana,17,35.2,4,20.4,2011
78,Nebraska,43,42.4,6,12.4,2011
79,Nevada,38,26.6,18,31.9,2011
80,New Hampshire,24,33.9,6,19.6,2011
81,New Jersey,104,21.3,32,23.5,2011
82,New Mexico,25,23.6,7,22.9,2011
83,New York,213,20.1,70,24.8,2011
84,North Carolina,97,19.5,46,32.0,2011
85,North Dakota,17,45.3,3,15.5,2011
86,Ohio,228,35.6,55,19.5,2011
87,Oklahoma,52,27.7,12,18.8,2011
88,Oregon,52,28.1,22,29.7,2011
89,Pennsylvania,267,38.2,50,15.7,2011
90,Rhode Island,19,31.7,8,29.0,2011
91,South Carolina,63,26.9,21,25.5,2011
92,South Dakota,18,43.2,3,15.6,2011
93,Tennessee,75,23.0,31,28.8,2011
94,Texas,332,23.0,115,25.6,2011
95,Utah,54,34.9,12,17.7,2011
96,Vermont,12,37.5,3,19.9,2011
97,Virginia,133,30.1,31,19.0,2011
98,Washington,88,23.7,38,30.4,2011
99,West Virginia,22,21.9,9,28.4,2011
100,Wisconsin,119,40.7,30,20.3,2011
101,Wyoming,11,39.1,3,19.0,2011
102,Alabama,66,23.7,14,17.1,2012
103,Alaska,13,30.0,3,20.6,2012
104,Arizona,86,25.3,35,28.9,2012
105,Arkansas,37,27.2,13,26.2,2012
106,California,389,17.5,205,34.6,2012
107,Colorado,77,29.0,27,26.2,2012
108,Connecticut,56,25.1,19,25.4,2012
109,Delaware,13,25.5,4,23.8,2012
110,District of Columbia,3,13.2,1,34.0,2012
111,Florida,186,20.8,57,23.5,2012
112,Georgia,115,20.2,48,29.6,2012
113,Hawaii,14,17.6,6,29.7,2012
114,Idaho,32,33.3,9,22.5,2012
115,Illinois,192,27.7,71,27.1,2012
116,Indiana,109,28.1,31,21.9,2012
117,Iowa,65,40.7,13,16.7,2012
118,Kansas,53,36.8,14,21.3,2012
119,Kentucky,68,30.2,22,24.2,2012
120,Louisiana,50,19.4,19,27.8,2012
121,Maine,26,35.6,8,24.6,2012
122,Maryland,81,27.3,23,21.8,2012
123,Massachusetts,101,26.3,26,20.2,2012
124,Michigan,183,30.7,50,21.5,2012
125,Minnesota,105,36.7,24,18.6,2012
126,Mississippi,37,20.7,12,24.0,2012
127,Missouri,91,29.5,29,23.9,2012
128,Montana,18,38.6,2,10.8,2012
129,Nebraska,38,41.0,6,13.5,2012
130,Nevada,38,27.4,13,25.6,2012
131,New Hampshire,27,37.6,6,17.1,2012
132,New Jersey,127,24.4,42,24.7,2012
133,New Mexico,31,28.3,7,18.9,2012
134,New York,207,19.2,82,28.4,2012
135,North Carolina,141,27.4,48,25.4,2012
136,North Dakota,15,43.5,2,12.4,2012
137,Ohio,222,34.3,44,16.6,2012
138,Oklahoma,53,29.3,9,14.5,2012
139,Oregon,54,28.0,16,23.3,2012
140,Pennsylvania,217,34.8,44,16.8,2012
141,Rhode Island,20,36.1,7,25.9,2012
142,South Carolina,53,21.9,25,31.7,2012
143,South Dakota,18,45.2,2,11.4,2012
144,Tennessee,99,30.0,25,20.4,2012
145,Texas,355,24.9,95,21.1,2012
146,Utah,66,37.0,17,20.7,2012
147,Vermont,13,37.7,3,17.7,2012
148,Virginia,119,26.4,41,25.9,2012
149,Washington,91,25.2,36,28.6,2012
150,West Virginia,20,24.3,5,18.8,2012
151,Wisconsin,125,41.1,32,20.4,2012
152,Wyoming,12,42.5,2,17.0,2012
153,Alabama,52,21.7,16,23.6,2013
154,Alaska,15,34.7,3,17.5,2013
155,Arizona,78,22.4,32,29.4,2013
156,Arkansas,34,22.4,16,31.6,2013
157,California,405,18.8,172,29.8,2013
158,Colorado,90,30.6,25,21.7,2013
159,Connecticut,53,24.7,16,23.2,2013
160,Delaware,14,27.8,3,19.6,2013
161,District of Columbia,3,14.4,2,34.2,2013
162,Florida,225,24.8,43,16.2,2013
163,Georgia,103,19.1,47,31.4,2013
164,Hawaii,16,21.1,3,18.1,2013
165,Idaho,34,34.7,8,20.2,2013
166,Illinois,185,26.3,73,28.3,2013
167,Indiana,104,28.6,29,21.7,2013
168,Iowa,79,46.8,11,12.1,2013
169,Kansas,61,38.9,12,16.8,2013
170,Kentucky,63,31.3,16,20.6,2013
171,Louisiana,67,24.9,13,16.2,2013
172,Maine,27,39.8,7,21.1,2013
173,Maryland,72,24.4,26,26.8,2013
174,Massachusetts,110,27.4,29,20.7,2013
175,Michigan,147,28.7,46,23.8,2013
176,Minnesota,115,39.4,20,15.0,2013
177,Mississippi,31,19.3,15,32.3,2013
178,Missouri,104,32.5,24,18.8,2013
179,Montana,15,33.7,3,14.6,2013
180,Nebraska,41,47.0,5,10.6,2013
181,Nevada,34,24.0,14,29.0,2013
182,New Hampshire,27,41.3,5,15.6,2013
183,New Jersey,119,23.8,38,24.5,2013
184,New Mexico,30,27.0,5,15.2,2013
185,New York,215,21.2,60,21.9,2013
186,North Carolina,122,23.3,45,27.0,2013
187,North Dakota,18,50.9,1,5.9,2013
188,Ohio,230,35.4,55,19.3,2013
189,Oklahoma,55,29.4,14,19.9,2013
190,Oregon,52,25.3,20,27.4,2013
191,Pennsylvania,201,31.5,57,22.0,2013
192,Rhode Island,18,31.1,6,25.3,2013
193,South Carolina,55,23.1,21,27.4,2013
194,South Dakota,20,46.9,2,10.3,2013
195,Tennessee,91,26.8,43,31.9,2013
196,Texas,387,26.6,106,21.5,2013
197,Utah,69,41.4,12,14.9,2013
198,Vermont,11,36.9,2,14.9,2013
199,Virginia,116,27.5,35,23.3,2013
200,Washington,84,23.8,37,30.7,2013
201,West Virginia,18,19.5,5,22.0,2013
202,Wisconsin,131,42.3,24,15.6,2013
203,Wyoming,13,43.8,2,15.4,2013
204,Alabama,44,18.1,18,29.7,2014
205,Alaska,13,32.8,3,19.5,2014
206,Arizona,102,26.1,31,23.3,2014
207,Arkansas,45,29.0,7,13.1,2014
208,California,391,18.2,137,25.9,2014
209,Colorado,87,32.2,19,18.3,2014
210,Connecticut,53,27.3,11,16.9,2014
211,Delaware,15,28.0,3,16.0,2014
212,District of Columbia,3,12.3,1,20.2,2014
213,Florida,210,23.4,47,18.5,2014
214,Georgia,113,22.0,38,25.0,2014
215,Hawaii,18,25.2,3,15.7,2014
216,Idaho,33,33.2,6,14.7,2014
217,Illinois,196,28.5,55,22.1,2014
218,Indiana,113,30.7,26,19.0,2014
219,Iowa,77,49.0,10,11.8,2014
220,Kansas,66,42.3,9,12.0,2014
221,Kentucky,58,28.8,18,23.5,2014
222,Louisiana,57,25.3,15,21.2,2014
223,Maine,22,39.0,5,17.6,2014
224,Maryland,66,22.8,20,23.7,2014
225,Massachusetts,119,31.2,26,17.7,2014
226,Michigan,164,31.9,41,20.0,2014
227,Minnesota,122,42.9,16,11.4,2014
228,Mississippi,38,20.4,8,16.9,2014
229,Missouri,111,35.2,21,15.6,2014
230,Montana,20,42.0,2,7.3,2014
231,Nebraska,42,46.0,5,11.3,2014
232,Nevada,35,24.2,12,25.7,2014
233,New Hampshire,26,41.2,4,13.3,2014
234,New Jersey,130,26.1,26,16.6,2014
235,New Mexico,25,23.1,8,23.7,2014
236,New York,209,20.2,55,20.8,2014
237,North Carolina,135,25.5,42,23.6,2014
238,North Dakota,15,44.2,2,11.0,2014
239,Ohio,211,34.2,54,20.5,2014
240,Oklahoma,53,24.5,11,17.0,2014
241,Oregon,52,26.2,20,28.0,2014
242,Pennsylvania,214,33.8,44,17.2,2014
243,Rhode Island,19,32.4,5,20.6,2014
244,South Carolina,55,26.1,21,27.4,2014
245,South Dakota,18,44.4,2,11.1,2014
246,Tennessee,111,28.2,26,19.3,2014
247,Texas,408,27.8,78,16.0,2014
248,Utah,64,41.6,8,10.5,2014
249,Vermont,12,36.5,2,15.4,2014
250,Virginia,110,26.7,23,17.1,2014
251,Washington,94,27.7,28,23.2,2014
252,West Virginia,20,21.5,6,23.3,2014
253,Wisconsin,133,42.3,28,17.5,2014
254,Wyoming,11,41.7,2,16.3,2014
255,Alabama,70,25.3,13,15.6,2015
256,Alaska,13,33.3,2,15.4,2015
257,Arizona,108,29.9,24,17.9,2015
258,Arkansas,41,26.3,8,15.8,2015
259,California,466,22.2,124,21.1,2015
260,Connecticut,46,21.5,11,18.6,2015
261,Delaware,13,30.6,2,14.7,2015
262,Florida,240,24.2,43,15.2,2015
263,Georgia,109,21.5,29,21.1,2015
264,Hawaii,21,27.3,3,13.0,2015
265,Idaho,36,39.7,5,12.2,2015
266,Illinois,212,31.1,49,18.7,2015
267,Indiana,113,32.0,27,19.2,2015
268,Iowa,77,50.6,9,10.1,2015
269,Kansas,64,42.1,7,10.2,2015
270,Kentucky,58,27.6,14,19.7,2015
271,Louisiana,66,27.7,15,18.7,2015
272,Maryland,90,29.8,18,16.9,2015
273,Massachusetts,96,29.3,22,18.5,2015
274,Michigan,172,34.8,34,16.7,2015
275,Minnesota,120,45.8,12,9.1,2015
276,Mississippi,33,20.9,8,20.1,2015
277,Missouri,128,40.0,23,15.4,2015
278,Montana,22,42.1,2,8.8,2015
279,Nevada,45,30.6,12,20.4,2015
280,New Hampshire,30,44.8,3,8.6,2015
281,New Jersey,106,21.9,23,18.0,2015
282,New Mexico,28,23.6,8,23.0,2015
283,New York,223,21.8,61,21.5,2015
284,North Carolina,125,24.2,39,23.7,2015
285,Ohio,219,34.5,52,19.2,2015
286,Oklahoma,59,30.1,8,11.5,2015
287,Oregon,54,26.1,15,22.2,2015
288,Pennsylvania,229,35.3,27,10.4,2015
289,Rhode Island,19,34.5,4,16.1,2015
290,South Carolina,56,23.1,14,20.5,2015
291,Tennessee,97,30.8,24,19.9,2015
292,Texas,389,26.2,59,13.1,2015
293,Utah,77,44.7,10,11.3,2015
294,Vermont,13,40.8,2,12.2,2015
295,Virginia,118,27.8,25,17.5,2015
296,Washington,100,26.2,21,17.6,2015
297,West Virginia,17,20.4,6,26.0,2015
298,Wisconsin,136,44.2,22,14.1,2015
299,Wyoming,11,39.2,2,13.0,2015
300,Alabama,65,26.6,16,19.3,2016
301,Alaska,11,28.2,3,19.7,2016
302,Arizona,119,31.7,19,14.0,2016
303,Arkansas,44,29.2,7,13.6,2016
304,California,475,23.0,103,17.8,2016
305,Connecticut,58,27.2,11,15.6,2016
306,Florida,228,22.5,48,17.4,2016
307,Georgia,134,25.6,35,20.8,2016
308,Idaho,32,37.3,4,11.0,2016
309,Illinois,200,28.6,49,19.6,2016
310,Indiana,127,36.9,24,15.8,2016
311,Iowa,71,49.1,6,7.4,2016
312,Kansas,64,39.3,6,8.9,2016
313,Kentucky,69,29.9,11,13.9,2016
314,Louisiana,58,23.5,15,20.3,2016
315,Massachusetts,106,33.8,10,8.7,2016
316,Michigan,171,36.4,34,16.6,2016
317,Minnesota,132,45.2,15,10.1,2016
318,Mississippi,32,18.7,9,21.3,2016
319,Missouri,127,40.0,22,14.8,2016
320,Montana,22,42.8,3,11.1,2016
321,Nebraska,51,47.6,5,8.1,2016
322,Nevada,43,28.2,9,17.6,2016
323,New Hampshire,28,41.9,3,10.5,2016
324,New Jersey,108,22.9,19,15.2,2016
325,New Mexico,30,24.8,9,23.2,2016
326,New York,233,22.9,47,16.7,2016
327,North Carolina,152,28.7,32,17.3,2016
328,North Dakota,15,42.0,2,9.1,2016
329,Ohio,235,39.2,45,16.0,2016
330,Oklahoma,57,28.6,9,13.8,2016
331,Oregon,55,27.0,14,20.0,2016
332,Pennsylvania,240,35.8,48,16.5,2016
333,Rhode Island,20,36.8,4,16.2,2016
334,South Carolina,68,28.5,11,14.0,2016
335,Tennessee,98,32.9,16,14.1,2016
336,Texas,421,26.8,78,15.6,2016
337,Utah,84,48.1,8,8.7,2016
338,Vermont,15,42.3,2,10.5,2016
339,Virginia,122,29.1,24,16.4,2016
340,Washington,109,29.5,28,20.5,2016
341,West Virginia,20,21.6,6,22.9,2016
342,Wisconsin,143,48.3,15,9.3,2016
343,Wyoming,11,37.0,2,15.1,2016
344,Alabama,63,24.1,11,15.3,2017
345,Alaska,10,25.4,3,26.1,2017
346,Arizona,119,29.8,22,15.5,2017
347,Arkansas,44,28.5,4,8.6,2017
348,California,462,22.7,99,17.7,2017
349,Delaware,18,37.2,3,13.4,2017
350,Florida,251,25.5,49,16.3,2017
351,Georgia,132,24.4,36,21.3,2017
352,Idaho,32,37.0,4,10.2,2017
353,Illinois,203,30.6,37,15.5,2017
354,Indiana,158,37.7,22,12.0,2017
355,Kentucky,87,34.8,11,11.6,2017
356,Louisiana,55,23.3,13,19.8,2017
357,Massachusetts,103,30.3,15,12.9,2017
358,Michigan,175,35.4,28,13.7,2017
359,Minnesota,137,47.1,15,9.8,2017
360,Mississippi,34,19.7,10,23.3,2017
361,Missouri,118,36.1,12,8.9,2017
362,Montana,19,39.2,2,11.4,2017
363,Nevada,45,31.2,8,14.6,2017
364,New Jersey,98,21.6,15,13.6,2017
365,New Mexico,25,22.7,7,21.2,2017
366,New York,205,21.5,46,18.3,2017
367,North Carolina,135,27.2,26,16.1,2017
368,Ohio,246,39.9,42,14.5,2017
369,Oklahoma,61,29.0,14,19.0,2017
370,Oregon,65,36.5,7,9.5,2017
371,Pennsylvania,227,34.3,40,15.1,2017
372,South Carolina,84,29.8,13,13.2,2017
373,Tennessee,97,31.3,14,12.8,2017
374,Texas,472,28.3,61,11.5,2017
375,Utah,90,48.9,11,10.7,2017
376,Vermont,15,43.4,1,8.1,2017
377,Virginia,138,32.9,18,11.5,2017
378,Washington,121,35.6,23,16.1,2017
379,West Virginia,24,23.9,5,16.3,2017
380,Wisconsin,163,52.1,13,7.5,2017
381,Wyoming,12,36.8,2,13.4,2017
382,Alabama,66,27.9,9,12.5,2018
383,Alaska,11,28.3,3,20.0,2018
384,Arizona,119,28.4,25,17.3,2018
385,Arkansas,46,29.3,5,9.1,2018
386,California,455,22.7,88,16.2,2018
387,Florida,265,27.0,40,13.2,2018
388,Georgia,155,26.6,27,14.8,2018
389,Idaho,36,38.1,5,11.5,2018
390,Illinois,204,29.8,35,14.5,2018
391,Indiana,138,38.2,18,11.4,2018
392,Kansas,65,44.0,5,7.7,2018
393,Kentucky,87,37.0,13,12.7,2018
394,Louisiana,59,23.7,12,17.1,2018
395,Maryland,86,29.1,16,15.9,2018
396,Massachusetts,96,30.6,14,12.7,2018
397,Michigan,194,34.8,26,11.7,2018
398,Minnesota,143,48.0,8,5.4,2018
399,Mississippi,36,20.3,9,20.1,2018
400,Nevada,41,27.8,9,17.5,2018
401,New Hampshire,32,47.1,3,8.8,2018
402,New Jersey,112,24.0,15,11.9,2018
403,New Mexico,33,29.5,5,13.2,2018
404,New York,244,25.5,28,10.4,2018
405,North Carolina,121,26.3,27,18.4,2018
406,Ohio,223,35.3,38,14.6,2018
407,Oregon,58,30.9,8,12.5,2018
408,Pennsylvania,250,37.7,32,11.5,2018
409,Tennessee,109,33.6,14,11.2,2018
410,Texas,441,28.1,64,12.6,2018
411,Utah,87,45.9,10,10.4,2018
412,Washington,108,28.5,20,15.3,2018
413,West Virginia,23,25.8,5,18.8,2018
414,Wisconsin,150,51.6,14,8.6,2018
415,Wyoming,13,42.6,2,11.2,2018
416,Alaska,13,33.2,2,15.0,2019
417,Arizona,138,33.6,26,16.0,2019
418,Arkansas,49,31.3,5,9.6,2019
419,California,447,22.5,76,14.5,2019
420,Florida,254,26.6,37,12.7,2019
421,Georgia,159,27.6,17,9.6,2019
422,Idaho,38,41.0,4,9.9,2019
423,Illinois,197,29.7,34,14.6,2019
424,Indiana,140,39.5,19,11.9,2019
425,Kentucky,79,36.0,9,10.4,2019
426,Louisiana,64,24.8,13,16.7,2019
427,Massachusetts,110,34.2,13,10.5,2019
428,Michigan,203,38.4,27,11.8,2019
429,Minnesota,132,44.1,12,8.1,2019
430,Mississippi,35,20.3,11,23.6,2019
431,Montana,20,41.1,2,9.2,2019
432,Nebraska,48,43.0,8,14.2,2019
433,New York,222,24.2,35,13.5,2019
434,North Carolina,146,28.2,27,15.6,2019
435,Ohio,219,35.9,41,15.8,2019
436,Oklahoma,72,32.7,7,8.8,2019
437,Oregon,78,36.5,12,13.9,2019
438,Pennsylvania,229,36.0,35,13.4,2019
439,Tennessee,121,36.1,14,10.5,2019
440,Texas,444,28.0,67,13.1,2019
441,Utah,97,49.3,7,7.0,2019
442,Washington,103,26.9,19,15.9,2019
443,West Virginia,26,28.2,4,13.8,2019
444,Wisconsin,148,48.1,16,9.9,2019
445,Wyoming,14,46.4,1,8.4,2019
