,State,Food Insecurity Rate,Child food insecurity rate,Year
172,Arizona,0.192,0.327,2009
173,Arizona,0.162,0.271,2009
174,Arizona,0.191,0.308,2009
175,Arizona,0.245,0.376,2009
176,Arizona,0.17,0.287,2009
177,Arizona,0.18899999999999997,0.302,2009
178,Arizona,0.226,0.399,2009
179,Arizona,0.175,0.28,2009
180,Arizona,0.27899999999999997,0.445,2009
181,California,0.159,0.225,2009
182,California,0.18899999999999997,0.292,2009
183,California,0.161,0.239,2009
184,California,0.196,0.29,2009
185,California,0.182,0.275,2009
186,California,0.22399999999999998,0.379,2009
187,California,0.145,0.217,2009
188,California,0.198,0.322,2009
189,California,0.15,0.236,2009
190,California,0.21600000000000003,0.354,2009
191,California,0.20600000000000002,0.331,2009
192,California,0.185,0.27,2009
193,California,0.314,0.484,2009
194,California,0.147,0.24,2009
195,California,0.21,0.341,2009
196,California,0.209,0.341,2009
197,California,0.222,0.35,2009
198,California,0.19,0.275,2009
199,California,0.174,0.288,2009
200,California,0.196,0.338,2009
201,California,0.115,0.184,2009
202,California,0.157,0.253,2009
203,California,0.172,0.284,2009
204,California,0.23199999999999998,0.376,2009
205,California,0.19399999999999998,0.293,2009
206,California,0.152,0.25,2009
207,California,0.165,0.292,2009
208,California,0.132,0.224,2009
209,California,0.151,0.226,2009
210,California,0.131,0.234,2009
211,California,0.14,0.214,2009
212,California,0.207,0.305,2009
213,California,0.18,0.287,2009
214,California,0.172,0.253,2009
215,California,0.175,0.291,2009
216,California,0.182,0.289,2009
217,California,0.14800000000000002,0.242,2009
218,California,0.145,0.208,2009
219,California,0.205,0.311,2009
220,California,0.151,0.226,2009
221,California,0.122,0.208,2009
222,California,0.141,0.247,2009
223,California,0.14300000000000002,0.236,2009
224,California,0.16,0.264,2009
225,California,0.20600000000000002,0.311,2009
226,California,0.183,0.257,2009
227,California,0.20800000000000002,0.309,2009
228,California,0.159,0.224,2009
229,California,0.142,0.235,2009
230,California,0.207,0.33,2009
231,California,0.21,0.325,2009
232,California,0.212,0.34,2009
233,California,0.228,0.312,2009
234,California,0.21899999999999997,0.374,2009
235,California,0.175,0.259,2009
236,California,0.13699999999999998,0.244,2009
237,California,0.175,0.265,2009
238,California,0.228,0.349,2009
239,Colorado,0.153,0.26,2009
240,Colorado,0.17800000000000002,0.301,2009
241,Colorado,0.145,0.213,2009
242,Colorado,0.154,0.247,2009
243,Colorado,0.128,0.193,2009
244,Colorado,0.191,0.312,2009
245,Colorado,0.133,0.201,2009
246,Colorado,0.11599999999999999,0.186,2009
247,Colorado,0.141,0.219,2009
248,Colorado,0.12,0.239,2009
249,Colorado,0.125,0.197,2009
250,Colorado,0.163,0.289,2009
251,Colorado,0.195,0.357,2009
252,Colorado,0.19899999999999998,0.304,2009
253,Colorado,0.154,0.252,2009
254,Colorado,0.147,0.244,2009
255,Colorado,0.17,0.272,2009
256,Colorado,0.21600000000000003,0.264,2009
257,Colorado,0.099,0.163,2009
258,Colorado,0.126,0.219,2009
259,Colorado,0.147,0.217,2009
260,Colorado,0.11699999999999999,0.185,2009
261,Colorado,0.172,0.261,2009
262,Colorado,0.125,0.216,2009
263,Colorado,0.129,0.184,2009
264,Colorado,0.128,0.197,2009
265,Colorado,0.132,0.179,2009
266,Colorado,0.085,0.205,2009
267,Colorado,0.172,0.29,2009
268,Colorado,0.132,0.244,2009
269,Colorado,0.128,0.207,2009
270,Colorado,0.11900000000000001,0.195,2009
271,Colorado,0.122,0.213,2009
272,Colorado,0.124,0.19,2009
273,Colorado,0.184,0.334,2009
274,Colorado,0.14,0.205,2009
275,Colorado,0.161,0.261,2009
276,Colorado,0.14,0.236,2009
277,Colorado,0.133,0.213,2009
278,Colorado,0.154,0.243,2009
279,Colorado,0.11699999999999999,0.213,2009
280,Colorado,0.136,0.209,2009
281,Colorado,0.161,0.271,2009
282,Colorado,0.149,0.242,2009
283,Colorado,0.131,0.236,2009
284,Colorado,0.16899999999999998,0.299,2009
285,Colorado,0.114,0.177,2009
286,Colorado,0.124,0.186,2009
287,Colorado,0.111,0.187,2009
288,Colorado,0.12,0.194,2009
289,Colorado,0.16,0.289,2009
290,Colorado,0.162,0.284,2009
291,Colorado,0.10400000000000001,0.166,2009
292,Colorado,0.149,0.276,2009
293,Colorado,0.11800000000000001,0.177,2009
294,Colorado,0.191,0.334,2009
295,Colorado,0.14,0.242,2009
296,Colorado,0.134,0.229,2009
297,Colorado,0.121,0.193,2009
298,Colorado,0.111,0.17,2009
299,Colorado,0.136,0.213,2009
300,Colorado,0.125,0.22,2009
301,Colorado,0.152,0.251,2009
302,Colorado,0.109,0.189,2009
303,Connecticut,0.11199999999999999,0.173,2009
304,Connecticut,0.133,0.199,2009
305,Connecticut,0.109,0.182,2009
306,Connecticut,0.10099999999999999,0.164,2009
307,Connecticut,0.136,0.205,2009
308,Connecticut,0.11199999999999999,0.182,2009
309,Connecticut,0.102,0.167,2009
310,Connecticut,0.132,0.228,2009
311,District of Columbia,0.158,0.323,2009
312,Delaware,0.129,0.213,2009
313,Delaware,0.121,0.184,2009
314,Delaware,0.121,0.226,2009
315,Florida,0.18100000000000002,0.227,2009
316,Florida,0.183,0.301,2009
317,Florida,0.16,0.269,2009
318,Florida,0.168,0.259,2009
319,Florida,0.16,0.262,2009
320,Florida,0.16,0.232,2009
321,Florida,0.18600000000000003,0.295,2009
322,Florida,0.16899999999999998,0.297,2009
323,Florida,0.184,0.327,2009
324,Florida,0.14400000000000002,0.244,2009
325,Florida,0.159,0.306,2009
326,Florida,0.17800000000000002,0.282,2009
327,Florida,0.185,0.339,2009
328,Florida,0.198,0.328,2009
329,Florida,0.183,0.245,2009
330,Florida,0.18,0.268,2009
331,Florida,0.198,0.323,2009
332,Florida,0.179,0.323,2009
333,Florida,0.22699999999999998,0.257,2009
334,Florida,0.16399999999999998,0.295,2009
335,Florida,0.17800000000000002,0.338,2009
336,Florida,0.183,0.314,2009
337,Florida,0.21,0.284,2009
338,Florida,0.193,0.355,2009
339,Florida,0.233,0.377,2009
340,Florida,0.184,0.311,2009
341,Florida,0.185,0.321,2009
342,Florida,0.172,0.28,2009
343,Florida,0.16899999999999998,0.312,2009
344,Florida,0.18600000000000003,0.313,2009
345,Florida,0.18100000000000002,0.228,2009
346,Florida,0.187,0.245,2009
347,Florida,0.158,0.276,2009
348,Florida,0.166,0.289,2009
349,Florida,0.17300000000000001,0.3,2009
350,Florida,0.18,0.206,2009
351,Florida,0.19899999999999998,0.342,2009
352,Florida,0.163,0.256,2009
353,Florida,0.22,0.308,2009
354,Florida,0.172,0.299,2009
355,Florida,0.193,0.315,2009
356,Florida,0.163,0.3,2009
357,Florida,0.17600000000000002,0.295,2009
358,Florida,0.128,0.237,2009
359,Florida,0.147,0.255,2009
360,Florida,0.135,0.248,2009
361,Florida,0.19399999999999998,0.357,2009
362,Florida,0.17,0.261,2009
363,Florida,0.16899999999999998,0.308,2009
364,Florida,0.168,0.267,2009
365,Florida,0.174,0.303,2009
366,Florida,0.16899999999999998,0.274,2009
367,Florida,0.182,0.301,2009
368,Florida,0.215,0.329,2009
369,Florida,0.133,0.232,2009
370,Florida,0.193,0.295,2009
371,Florida,0.147,0.272,2009
372,Florida,0.163,0.288,2009
373,Florida,0.15,0.254,2009
374,Florida,0.16699999999999998,0.287,2009
375,Florida,0.183,0.314,2009
376,Florida,0.21100000000000002,0.325,2009
377,Florida,0.171,0.265,2009
378,Florida,0.174,0.291,2009
379,Florida,0.14400000000000002,0.248,2009
380,Florida,0.145,0.274,2009
381,Florida,0.19399999999999998,0.312,2009
382,Georgia,0.19699999999999998,0.37,2009
383,Georgia,0.245,0.451,2009
384,Georgia,0.16699999999999998,0.271,2009
385,Georgia,0.21600000000000003,0.265,2009
386,Georgia,0.22899999999999998,0.282,2009
387,Georgia,0.147,0.286,2009
388,Georgia,0.168,0.312,2009
389,Georgia,0.18100000000000002,0.34,2009
390,Georgia,0.258,0.377,2009
391,Georgia,0.21600000000000003,0.362,2009
392,Georgia,0.212,0.271,2009
393,Georgia,0.196,0.311,2009
394,Georgia,0.18100000000000002,0.339,2009
395,Georgia,0.17800000000000002,0.24,2009
396,Georgia,0.135,0.261,2009
397,Georgia,0.20600000000000002,0.273,2009
398,Georgia,0.23399999999999999,0.301,2009
399,Georgia,0.184,0.289,2009
400,Georgia,0.245,0.316,2009
401,Georgia,0.162,0.278,2009
402,Georgia,0.18600000000000003,0.322,2009
403,Georgia,0.182,0.304,2009
404,Georgia,0.14300000000000002,0.3,2009
405,Georgia,0.19699999999999998,0.309,2009
406,Georgia,0.17800000000000002,0.238,2009
407,Georgia,0.222,0.341,2009
408,Georgia,0.21,0.374,2009
409,Georgia,0.129,0.272,2009
410,Georgia,0.21,0.292,2009
411,Georgia,0.233,0.26,2009
412,Georgia,0.21,0.239,2009
413,Georgia,0.22,0.333,2009
414,Georgia,0.147,0.254,2009
415,Georgia,0.24,0.371,2009
416,Georgia,0.191,0.331,2009
417,Georgia,0.12,0.23,2009
418,Georgia,0.222,0.319,2009
419,Georgia,0.154,0.281,2009
420,Georgia,0.198,0.327,2009
421,Georgia,0.25,0.349,2009
422,Georgia,0.16699999999999998,0.347,2009
423,Georgia,0.149,0.312,2009
424,Georgia,0.22899999999999998,0.31,2009
425,Georgia,0.193,0.244,2009
426,Georgia,0.21,0.297,2009
427,Georgia,0.23,0.332,2009
428,Georgia,0.237,0.272,2009
429,Georgia,0.174,0.249,2009
430,Georgia,0.235,0.295,2009
431,Georgia,0.182,0.385,2009
432,Georgia,0.14300000000000002,0.271,2009
433,Georgia,0.217,0.331,2009
434,Georgia,0.218,0.327,2009
435,Georgia,0.195,0.335,2009
436,Georgia,0.165,0.333,2009
437,Georgia,0.12300000000000001,0.219,2009
438,Georgia,0.185,0.345,2009
439,Georgia,0.111,0.259,2009
440,Georgia,0.192,0.336,2009
441,Georgia,0.18600000000000003,0.261,2009
442,Georgia,0.183,0.377,2009
443,Georgia,0.19,0.311,2009
444,Georgia,0.165,0.283,2009
445,Georgia,0.18899999999999997,0.367,2009
446,Georgia,0.19899999999999998,0.327,2009
447,Georgia,0.214,0.311,2009
448,Georgia,0.14400000000000002,0.265,2009
449,Georgia,0.171,0.362,2009
450,Georgia,0.151,0.33,2009
451,Georgia,0.304,0.313,2009
452,Georgia,0.192,0.372,2009
453,Georgia,0.135,0.247,2009
454,Georgia,0.21600000000000003,0.345,2009
455,Georgia,0.2,0.362,2009
456,Georgia,0.152,0.233,2009
457,Georgia,0.147,0.245,2009
458,Georgia,0.265,0.388,2009
459,Georgia,0.171,0.327,2009
460,Georgia,0.201,0.334,2009
461,Georgia,0.22399999999999998,0.355,2009
462,Georgia,0.271,0.349,2009
463,Georgia,0.276,0.386,2009
464,Georgia,0.24100000000000002,0.348,2009
465,Georgia,0.16399999999999998,0.267,2009
466,Georgia,0.22699999999999998,0.356,2009
467,Georgia,0.185,0.307,2009
468,Georgia,0.213,0.309,2009
469,Georgia,0.13,0.241,2009
470,Georgia,0.18100000000000002,0.261,2009
471,Georgia,0.214,0.333,2009
472,Georgia,0.154,0.28,2009
473,Georgia,0.18600000000000003,0.266,2009
474,Georgia,0.17800000000000002,0.334,2009
475,Georgia,0.265,0.314,2009
476,Georgia,0.163,0.305,2009
477,Georgia,0.222,0.395,2009
478,Georgia,0.218,0.315,2009
479,Georgia,0.193,0.28,2009
480,Georgia,0.223,0.304,2009
481,Georgia,0.18100000000000002,0.253,2009
482,Georgia,0.21,0.267,2009
483,Georgia,0.162,0.263,2009
484,Georgia,0.187,0.305,2009
485,Georgia,0.17600000000000002,0.281,2009
486,Georgia,0.18899999999999997,0.372,2009
487,Georgia,0.195,0.264,2009
488,Georgia,0.188,0.266,2009
489,Georgia,0.11,0.241,2009
490,Georgia,0.168,0.279,2009
491,Georgia,0.149,0.265,2009
492,Georgia,0.214,0.333,2009
493,Georgia,0.155,0.324,2009
494,Georgia,0.175,0.33,2009
495,Georgia,0.16399999999999998,0.307,2009
496,Georgia,0.18,0.346,2009
497,Georgia,0.19399999999999998,0.257,2009
498,Georgia,0.184,0.261,2009
499,Georgia,0.217,0.245,2009
500,Georgia,0.17300000000000001,0.322,2009
501,Georgia,0.25,0.335,2009
502,Georgia,0.218,0.288,2009
503,Georgia,0.18100000000000002,0.255,2009
504,Georgia,0.20800000000000002,0.327,2009
505,Georgia,0.233,0.292,2009
506,Georgia,0.204,0.302,2009
507,Georgia,0.225,0.327,2009
508,Georgia,0.182,0.313,2009
509,Georgia,0.235,0.278,2009
510,Georgia,0.24600000000000002,0.322,2009
511,Georgia,0.23199999999999998,0.255,2009
512,Georgia,0.293,0.433,2009
513,Georgia,0.184,0.291,2009
514,Georgia,0.264,0.375,2009
515,Georgia,0.252,0.344,2009
516,Georgia,0.252,0.294,2009
517,Georgia,0.198,0.281,2009
518,Georgia,0.214,0.352,2009
519,Georgia,0.217,0.36,2009
520,Georgia,0.139,0.31,2009
521,Georgia,0.239,0.35,2009
522,Georgia,0.218,0.324,2009
523,Georgia,0.249,0.332,2009
524,Georgia,0.209,0.285,2009
525,Georgia,0.158,0.294,2009
526,Georgia,0.21899999999999997,0.327,2009
527,Georgia,0.17300000000000001,0.333,2009
528,Georgia,0.16399999999999998,0.297,2009
529,Georgia,0.205,0.334,2009
530,Georgia,0.276,0.329,2009
531,Georgia,0.253,0.318,2009
532,Georgia,0.196,0.31,2009
533,Georgia,0.19699999999999998,0.292,2009
534,Georgia,0.214,0.287,2009
535,Georgia,0.17800000000000002,0.361,2009
536,Georgia,0.18899999999999997,0.389,2009
537,Georgia,0.233,0.369,2009
538,Georgia,0.228,0.32,2009
539,Georgia,0.22899999999999998,0.348,2009
540,Georgia,0.20199999999999999,0.309,2009
541,Hawaii,0.162,0.266,2009
542,Hawaii,0.11699999999999999,0.193,2009
543,Hawaii,0.146,0.235,2009
544,Hawaii,0.136,0.22,2009
545,Iowa,0.124,0.204,2009
546,Iowa,0.12,0.183,2009
547,Iowa,0.154,0.249,2009
548,Iowa,0.163,0.259,2009
549,Iowa,0.124,0.214,2009
550,Iowa,0.11599999999999999,0.195,2009
551,Iowa,0.146,0.208,2009
552,Iowa,0.125,0.208,2009
553,Iowa,0.109,0.172,2009
554,Iowa,0.127,0.215,2009
555,Iowa,0.11900000000000001,0.219,2009
556,Iowa,0.128,0.22,2009
557,Iowa,0.122,0.211,2009
558,Iowa,0.10800000000000001,0.183,2009
559,Iowa,0.14300000000000002,0.251,2009
560,Iowa,0.11,0.193,2009
561,Iowa,0.13,0.22,2009
562,Iowa,0.098,0.162,2009
563,Iowa,0.142,0.216,2009
564,Iowa,0.134,0.211,2009
565,Iowa,0.122,0.203,2009
566,Iowa,0.14400000000000002,0.232,2009
567,Iowa,0.133,0.22,2009
568,Iowa,0.11199999999999999,0.199,2009
569,Iowa,0.098,0.171,2009
570,Iowa,0.138,0.201,2009
571,Iowa,0.156,0.215,2009
572,Iowa,0.12300000000000001,0.201,2009
573,Iowa,0.147,0.235,2009
574,Iowa,0.125,0.193,2009
575,Iowa,0.121,0.194,2009
576,Iowa,0.14,0.222,2009
577,Iowa,0.15,0.24,2009
578,Iowa,0.154,0.241,2009
579,Iowa,0.131,0.23,2009
580,Iowa,0.128,0.203,2009
581,Iowa,0.11599999999999999,0.193,2009
582,Iowa,0.10800000000000001,0.189,2009
583,Iowa,0.11599999999999999,0.195,2009
584,Iowa,0.129,0.218,2009
585,Iowa,0.146,0.231,2009
586,Iowa,0.131,0.229,2009
587,Iowa,0.11599999999999999,0.2,2009
588,Iowa,0.156,0.25,2009
589,Iowa,0.145,0.231,2009
590,Iowa,0.125,0.226,2009
591,Iowa,0.11599999999999999,0.179,2009
592,Iowa,0.121,0.205,2009
593,Iowa,0.142,0.233,2009
594,Iowa,0.14400000000000002,0.223,2009
595,Iowa,0.16,0.26,2009
596,Iowa,0.134,0.169,2009
597,Iowa,0.129,0.216,2009
598,Iowa,0.13699999999999998,0.207,2009
599,Iowa,0.11699999999999999,0.189,2009
600,Iowa,0.16399999999999998,0.261,2009
601,Iowa,0.122,0.193,2009
602,Iowa,0.138,0.248,2009
603,Iowa,0.135,0.199,2009
604,Iowa,0.09699999999999999,0.159,2009
605,Iowa,0.115,0.19,2009
606,Iowa,0.142,0.216,2009
607,Iowa,0.11900000000000001,0.191,2009
608,Iowa,0.135,0.241,2009
609,Iowa,0.11,0.164,2009
610,Iowa,0.11199999999999999,0.189,2009
611,Iowa,0.142,0.233,2009
612,Iowa,0.146,0.219,2009
613,Iowa,0.156,0.258,2009
614,Iowa,0.14300000000000002,0.25,2009
615,Iowa,0.113,0.184,2009
616,Iowa,0.122,0.199,2009
617,Iowa,0.147,0.223,2009
618,Iowa,0.13699999999999998,0.196,2009
619,Iowa,0.096,0.165,2009
620,Iowa,0.11800000000000001,0.186,2009
621,Iowa,0.12,0.194,2009
622,Iowa,0.11699999999999999,0.204,2009
623,Iowa,0.125,0.198,2009
624,Iowa,0.125,0.223,2009
625,Iowa,0.12,0.205,2009
626,Iowa,0.136,0.211,2009
627,Iowa,0.10099999999999999,0.17,2009
628,Iowa,0.098,0.158,2009
629,Iowa,0.14,0.172,2009
630,Iowa,0.13,0.221,2009
631,Iowa,0.133,0.213,2009
632,Iowa,0.142,0.246,2009
633,Iowa,0.155,0.265,2009
634,Iowa,0.156,0.26,2009
635,Iowa,0.107,0.182,2009
636,Iowa,0.125,0.228,2009
637,Iowa,0.135,0.216,2009
638,Iowa,0.145,0.224,2009
639,Iowa,0.149,0.228,2009
640,Iowa,0.11699999999999999,0.183,2009
641,Iowa,0.13,0.231,2009
642,Iowa,0.125,0.23,2009
643,Iowa,0.139,0.234,2009
644,Idaho,0.147,0.209,2009
645,Idaho,0.213,0.288,2009
646,Idaho,0.155,0.226,2009
647,Idaho,0.139,0.198,2009
648,Idaho,0.212,0.292,2009
649,Idaho,0.146,0.225,2009
650,Idaho,0.14300000000000002,0.23,2009
651,Idaho,0.157,0.244,2009
652,Idaho,0.17800000000000002,0.262,2009
653,Idaho,0.131,0.2,2009
654,Idaho,0.212,0.285,2009
655,Idaho,0.14800000000000002,0.228,2009
656,Idaho,0.172,0.286,2009
657,Idaho,0.184,0.283,2009
658,Idaho,0.131,0.19,2009
659,Idaho,0.145,0.238,2009
660,Idaho,0.139,0.209,2009
661,Idaho,0.201,0.284,2009
662,Idaho,0.138,0.2,2009
663,Idaho,0.151,0.241,2009
664,Idaho,0.138,0.224,2009
665,Idaho,0.15,0.224,2009
666,Idaho,0.17800000000000002,0.253,2009
667,Idaho,0.146,0.243,2009
668,Idaho,0.19399999999999998,0.294,2009
669,Idaho,0.13699999999999998,0.202,2009
670,Idaho,0.141,0.238,2009
671,Idaho,0.162,0.237,2009
672,Idaho,0.172,0.212,2009
673,Idaho,0.171,0.235,2009
674,Idaho,0.146,0.25,2009
675,Idaho,0.182,0.267,2009
676,Idaho,0.198,0.23,2009
677,Idaho,0.14,0.242,2009
678,Idaho,0.149,0.227,2009
679,Idaho,0.14400000000000002,0.207,2009
680,Idaho,0.146,0.257,2009
681,Idaho,0.16899999999999998,0.264,2009
682,Idaho,0.156,0.255,2009
683,Idaho,0.213,0.301,2009
684,Idaho,0.12300000000000001,0.192,2009
685,Idaho,0.14800000000000002,0.231,2009
686,Idaho,0.20600000000000002,0.334,2009
687,Idaho,0.17,0.259,2009
688,Illinois,0.125,0.23,2009
689,Illinois,0.215,0.267,2009
690,Illinois,0.146,0.237,2009
691,Illinois,0.171,0.296,2009
692,Illinois,0.11699999999999999,0.227,2009
693,Illinois,0.14400000000000002,0.261,2009
694,Illinois,0.146,0.235,2009
695,Illinois,0.14800000000000002,0.26,2009
696,Illinois,0.12,0.232,2009
697,Illinois,0.158,0.211,2009
698,Illinois,0.151,0.284,2009
699,Illinois,0.166,0.284,2009
700,Illinois,0.172,0.283,2009
701,Illinois,0.11900000000000001,0.214,2009
702,Illinois,0.165,0.252,2009
703,Illinois,0.161,0.235,2009
704,Illinois,0.157,0.292,2009
705,Illinois,0.14400000000000002,0.264,2009
706,Illinois,0.14800000000000002,0.229,2009
707,Illinois,0.125,0.221,2009
708,Illinois,0.12,0.222,2009
709,Illinois,0.10300000000000001,0.196,2009
710,Illinois,0.15,0.265,2009
711,Illinois,0.134,0.235,2009
712,Illinois,0.121,0.224,2009
713,Illinois,0.166,0.306,2009
714,Illinois,0.131,0.218,2009
715,Illinois,0.185,0.328,2009
716,Illinois,0.159,0.288,2009
717,Illinois,0.161,0.26,2009
718,Illinois,0.138,0.255,2009
719,Illinois,0.136,0.24,2009
720,Illinois,0.139,0.252,2009
721,Illinois,0.153,0.262,2009
722,Illinois,0.168,0.296,2009
723,Illinois,0.138,0.238,2009
724,Illinois,0.131,0.251,2009
725,Illinois,0.135,0.243,2009
726,Illinois,0.179,0.246,2009
727,Illinois,0.132,0.23,2009
728,Illinois,0.158,0.27,2009
