,State,FIPS,Food Insecurity Rate,Number of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Food Budget Shortfall,Cost Per Meal,Child food insecurity rate,Number of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Year
34,AL,1021.0,0.165,6990.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.37,0.19,2995960.0,2.5654,0.295,3090.0,0.685,0.315,2009
35,AL,1023.0,0.226,3220.0,1.3,SNAP,1.85,other nutrition pgm,0.6,0.21,0.19,1544090.0,2.8701999999999996,0.284,960.0,0.783,0.217,2009
36,AL,1025.0,0.258,6810.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.14,0.23,2872570.0,2.52476,0.318,2210.0,0.806,0.194,2009
37,AL,1027.0,0.215,2960.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.23,0.32,1521160.0,3.07594,0.332,1000.0,0.642,0.358,2009
38,AL,1029.0,0.16,2330.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.44,0.12,1154880.0,2.96672,0.283,970.0,0.685,0.315,2009
39,AL,1031.0,0.152,7130.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.26,0.31,3116480.0,2.6162,0.267,2990.0,0.654,0.346,2009
40,AL,1033.0,0.169,9200.0,1.3,SNAP,1.85,other nutrition pgm,0.4,0.26,0.34,3962700.0,2.5780999999999996,0.276,3380.0,0.612,0.388,2009
41,AL,1035.0,0.291,3820.0,1.3,SNAP,1.85,other nutrition pgm,0.65,0.16,0.19,1940420.0,3.0403800000000003,0.375,1170.0,0.829,0.171,2009
42,AL,1037.0,0.229,2470.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.19,0.31,1245230.0,3.0175199999999998,0.308,690.0,0.725,0.275,2009
43,AL,1039.0,0.174,6380.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.33,0.22,2748050.0,2.5780999999999996,0.308,2580.0,0.659,0.341,2009
44,AL,1041.0,0.188,2570.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.26,0.27,1228030.0,2.8600399999999997,0.299,970.0,0.66,0.34,2009
45,AL,1043.0,0.157,12640.0,1.3,SNAP,1.85,other nutrition pgm,0.4,0.33,0.27,5621420.0,2.6619200000000003,0.306,5780.0,0.558,0.442,2009
46,AL,1045.0,0.156,7550.0,1.3,SNAP,1.85,other nutrition pgm,0.39,0.28,0.32,3050150.0,2.41808,0.246,2950.0,0.654,0.346,2009
47,AL,1047.0,0.324,13830.0,1.3,SNAP,1.85,other nutrition pgm,0.73,0.13,0.14,5974590.0,2.5857200000000002,0.354,4140.0,0.99,0.01,2009
48,AL,1049.0,0.197,13450.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.39,0.11,5736230.0,2.5526999999999997,0.37,6420.0,0.668,0.332,2009
49,AL,1051.0,0.151,11570.0,1.3,SNAP,1.85,other nutrition pgm,0.35,0.19,0.46,5008080.0,2.5908,0.244,4590.0,0.55,0.45,2009
50,AL,1053.0,0.218,8180.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.14,0.33,3519890.0,2.57556,0.323,2840.0,0.683,0.317,2009
51,AL,1055.0,0.174,17920.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.3,0.27,7224360.0,2.413,0.291,7080.0,0.684,0.316,2009
52,AL,1057.0,0.191,3380.0,1.3,SNAP,1.85,other nutrition pgm,0.4,0.33,0.28,1437220.0,2.54508,0.309,1230.0,0.631,0.369,2009
53,AL,1059.0,0.186,5740.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.41,0.14,2445590.0,2.55016,0.333,2540.0,0.656,0.344,2009
54,AL,1061.0,0.167,4300.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.4,0.12,1872210.0,2.60604,0.282,1610.0,0.7,0.3,2009
55,AL,1063.0,0.281,2560.0,1.3,SNAP,1.85,other nutrition pgm,0.76,0.07,0.16,1248240.0,2.91846,0.261,630.0,1.0,0.0,2009
56,AL,1065.0,0.247,4440.0,1.3,SNAP,1.85,other nutrition pgm,0.64,0.19,0.17,2193180.0,2.9565599999999996,0.271,1250.0,0.991,0.009,2009
57,AL,1067.0,0.179,2970.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.24,0.33,1434290.0,2.89052,0.251,970.0,0.767,0.233,2009
58,AL,1069.0,0.163,15800.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.25,0.32,6718350.0,2.54508,0.25,6040.0,0.685,0.315,2009
59,AL,1071.0,0.181,9550.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.36,0.22,4125620.0,2.5857200000000002,0.327,3960.0,0.658,0.342,2009
60,AL,1073.0,0.179,118630.0,1.3,SNAP,1.85,other nutrition pgm,0.42,0.19,0.39,47674080.0,2.40538,0.227,36170.0,0.71,0.29,2009
61,AL,1075.0,0.21,3040.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.34,0.2,1495180.0,2.94386,0.324,1040.0,0.721,0.279,2009
62,AL,1077.0,0.17,15040.0,1.3,SNAP,1.85,other nutrition pgm,0.41,0.25,0.33,5839920.0,2.3241,0.307,5770.0,0.595,0.405,2009
63,AL,1079.0,0.176,6010.0,1.3,SNAP,1.85,other nutrition pgm,0.4,0.35,0.25,2586130.0,2.57556,0.295,2350.0,0.673,0.327,2009
64,AL,1081.0,0.173,22550.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.21,0.32,9760780.0,2.5908,0.234,6760.0,0.613,0.387,2009
65,AL,1083.0,0.148,10980.0,1.3,SNAP,1.85,other nutrition pgm,0.37,0.26,0.37,4887830.0,2.66446,0.263,4670.0,0.521,0.479,2009
66,AL,1085.0,0.292,3690.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.18,0.19,1879080.0,3.048,0.301,1010.0,0.956,0.044,2009
67,AL,1087.0,0.256,5710.0,1.3,SNAP,1.85,other nutrition pgm,0.67,0.18,0.16,2941660.0,3.08356,0.222,1060.0,1.0,0.0,2009
68,AL,1089.0,0.135,42330.0,1.3,SNAP,1.85,other nutrition pgm,0.33,0.19,0.48,17316620.0,2.44856,0.214,16420.0,0.509,0.491,2009
69,AL,1091.0,0.248,5250.0,1.3,SNAP,1.85,other nutrition pgm,0.62,0.17,0.21,2232360.0,2.54508,0.283,1580.0,0.893,0.107,2009
70,AL,1093.0,0.212,6230.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.34,0.21,2649070.0,2.54508,0.384,2460.0,0.626,0.374,2009
71,AL,1095.0,0.164,14410.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.34,0.21,6084500.0,2.5273,0.342,7860.0,0.583,0.417,2009
72,AL,1097.0,0.191,77380.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.2,0.31,33986540.0,2.6289,0.268,28420.0,0.747,0.253,2009
73,AL,1099.0,0.275,6260.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.15,0.22,2709640.0,2.5908,0.352,2080.0,0.755,0.245,2009
74,AL,1101.0,0.193,43250.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.13,0.38,17968290.0,2.48666,0.217,12350.0,0.86,0.14,2009
75,AL,1103.0,0.162,18680.0,1.3,SNAP,1.85,other nutrition pgm,0.39,0.3,0.31,7443550.0,2.3850599999999997,0.295,8430.0,0.611,0.389,2009
76,AL,1105.0,0.291,3110.0,1.3,SNAP,1.85,other nutrition pgm,0.75,0.19,0.06,1532250.0,2.9489400000000003,0.283,830.0,1.0,0.0,2009
77,AL,1107.0,0.238,4640.0,1.3,SNAP,1.85,other nutrition pgm,0.64,0.13,0.23,2380580.0,3.07086,0.3,1420.0,0.8,0.2,2009
78,AL,1109.0,0.209,6310.0,1.3,SNAP,1.85,other nutrition pgm,0.6,0.15,0.25,2731290.0,2.5908,0.284,1920.0,0.787,0.213,2009
79,AL,1111.0,0.213,4790.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.27,0.25,2020500.0,2.52476,0.312,1630.0,0.726,0.274,2009
80,AL,1113.0,0.211,10580.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.27,0.2,4557110.0,2.5780999999999996,0.284,3480.0,0.86,0.14,2009
81,AL,1115.0,0.15,11620.0,1.3,SNAP,1.85,other nutrition pgm,0.36,0.21,0.43,4995210.0,2.5730199999999996,0.271,4980.0,0.477,0.523,2009
82,AL,1117.0,0.109,19870.0,1.3,SNAP,1.85,other nutrition pgm,0.22,0.22,0.56,8609170.0,2.59334,0.213,10160.0,0.339,0.661,2009
83,AL,1119.0,0.303,4020.0,1.3,SNAP,1.85,other nutrition pgm,0.75,0.12,0.13,2059070.0,3.06578,0.349,1150.0,1.0,0.0,2009
84,AL,1121.0,0.213,17100.0,1.3,SNAP,1.85,other nutrition pgm,0.52,0.21,0.27,7387230.0,2.5857200000000002,0.299,5690.0,0.774,0.226,2009
85,AL,1123.0,0.199,8130.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.28,0.27,3498370.0,2.57556,0.295,2730.0,0.751,0.249,2009
86,AL,1125.0,0.183,32770.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.16,0.37,14852020.0,2.71272,0.237,9670.0,0.649,0.351,2009
87,AL,1127.0,0.171,11790.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.31,0.26,5078290.0,2.5780999999999996,0.313,4940.0,0.574,0.426,2009
88,AL,1129.0,0.219,3770.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.22,0.29,1807830.0,2.8701999999999996,0.309,1320.0,0.561,0.439,2009
89,AL,1131.0,0.376,4720.0,1.3,SNAP,1.85,other nutrition pgm,0.81,0.1,0.08,2563830.0,3.2512000000000003,0.4,1470.0,0.982,0.018,2009
90,AL,1133.0,0.23,5570.0,1.3,SNAP,1.85,other nutrition pgm,0.52,0.3,0.18,2455890.0,2.6390599999999997,0.422,2390.0,0.63,0.37,2009
91,AR,5001.0,0.245,4750.0,1.3,SNAP,1.85,other nutrition pgm,0.54,0.15,0.31,1945180.0,2.4511,0.31,1420.0,0.788,0.212,2009
92,AR,5003.0,0.214,4780.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.22,0.25,1983830.0,2.48412,0.294,1650.0,0.759,0.241,2009
93,AR,5005.0,0.174,7220.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.31,0.26,3048580.0,2.5273,0.338,2580.0,0.682,0.318,2009
94,AR,5007.0,0.136,28470.0,1.3,SNAP,1.85,other nutrition pgm,0.38,0.27,0.35,11223830.0,2.3596600000000003,0.272,15520.0,0.534,0.466,2009
95,AR,5009.0,0.163,5930.0,1.3,SNAP,1.85,other nutrition pgm,0.41,0.27,0.32,2463630.0,2.48666,0.297,2540.0,0.61,0.39,2009
96,AR,5011.0,0.248,2970.0,1.3,SNAP,1.85,other nutrition pgm,0.71,0.15,0.15,1446890.0,2.91592,0.338,950.0,0.793,0.207,2009
97,AR,5013.0,0.183,990.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.22,0.22,480200.0,2.90322,0.238,290.0,0.808,0.192,2009
98,AR,5015.0,0.157,4280.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.28,0.21,1763600.0,2.4663399999999998,0.308,1890.0,0.679,0.321,2009
99,AR,5017.0,0.285,3500.0,1.3,SNAP,1.85,other nutrition pgm,0.8,0.18,0.03,1682810.0,2.8778200000000003,0.335,1030.0,0.951,0.049,2009
100,AR,5019.0,0.208,4920.0,1.3,SNAP,1.85,other nutrition pgm,0.58,0.04,0.39,2046110.0,2.4892,0.287,1420.0,0.696,0.304,2009
101,AR,5021.0,0.203,3250.0,1.3,SNAP,1.85,other nutrition pgm,0.52,0.29,0.19,1379180.0,2.54,0.358,1250.0,0.651,0.349,2009
102,AR,5023.0,0.163,4120.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.25,0.33,1730890.0,2.5146,0.308,1590.0,0.583,0.417,2009
103,AR,5025.0,0.178,1530.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.28,0.28,716800.0,2.8041600000000004,0.296,630.0,0.686,0.314,2009
104,AR,5027.0,0.212,5160.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.1,0.34,2119640.0,2.45872,0.261,1470.0,0.858,0.142,2009
105,AR,5029.0,0.173,3570.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.28,0.24,1458920.0,2.44602,0.266,1340.0,0.692,0.308,2009
106,AR,5031.0,0.169,15430.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.19,0.35,6213980.0,2.41046,0.283,6320.0,0.61,0.39,2009
107,AR,5033.0,0.173,10190.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.3,0.23,4224800.0,2.48158,0.332,5240.0,0.656,0.344,2009
108,AR,5035.0,0.245,12810.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.1,0.28,5224090.0,2.44094,0.29,4470.0,0.912,0.088,2009
109,AR,5037.0,0.185,3480.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.28,0.22,1451680.0,2.49682,0.239,1180.0,0.813,0.187,2009
110,AR,5039.0,0.223,1830.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.11,0.26,785900.0,2.57048,0.271,570.0,0.93,0.07,2009
111,AR,5041.0,0.261,3580.0,1.3,SNAP,1.85,other nutrition pgm,0.68,0.13,0.19,1535930.0,2.5679399999999997,0.324,1180.0,0.881,0.119,2009
112,AR,5043.0,0.227,4240.0,1.3,SNAP,1.85,other nutrition pgm,0.58,0.1,0.32,1770510.0,2.49936,0.33,1500.0,0.719,0.281,2009
113,AR,5045.0,0.162,16910.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.16,0.42,7068340.0,2.5019,0.253,6480.0,0.523,0.477,2009
114,AR,5047.0,0.172,3100.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.3,0.18,1324740.0,2.5577799999999997,0.33,1460.0,0.668,0.332,2009
115,AR,5049.0,0.174,2040.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.26,0.29,851850.0,2.49936,0.321,810.0,0.585,0.415,2009
116,AR,5051.0,0.168,16180.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.25,0.3,6467960.0,2.39268,0.291,5910.0,0.71,0.29,2009
117,AR,5053.0,0.141,2470.0,1.3,SNAP,1.85,other nutrition pgm,0.33,0.27,0.4,1023020.0,2.47904,0.257,1090.0,0.632,0.368,2009
118,AR,5055.0,0.186,7470.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.23,0.28,3093910.0,2.47904,0.333,3330.0,0.636,0.364,2009
119,AR,5057.0,0.203,4690.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.19,0.25,1906670.0,2.43332,0.301,1800.0,0.836,0.164,2009
120,AR,5059.0,0.173,5480.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.29,0.27,2269700.0,2.47904,0.274,2010.0,0.722,0.278,2009
121,AR,5061.0,0.194,2770.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.19,0.25,1139050.0,2.46126,0.308,1140.0,0.714,0.286,2009
122,AR,5063.0,0.179,6160.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.24,0.29,2514740.0,2.44348,0.327,2690.0,0.661,0.339,2009
123,AR,5065.0,0.189,2470.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.25,0.24,1107920.0,2.68478,0.343,880.0,0.744,0.256,2009
124,AR,5067.0,0.238,4060.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.09,0.28,1674670.0,2.46888,0.38,1400.0,0.755,0.245,2009
125,AR,5069.0,0.229,18290.0,1.3,SNAP,1.85,other nutrition pgm,0.61,0.04,0.35,7544280.0,2.46888,0.252,4980.0,0.952,0.048,2009
126,AR,5071.0,0.172,4220.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.32,0.21,1742460.0,2.47142,0.333,2100.0,0.58,0.42,2009
127,AR,5073.0,0.218,1680.0,1.3,SNAP,1.85,other nutrition pgm,0.67,0.23,0.1,824860.0,2.93878,0.27,460.0,1.0,0.0,2009
128,AR,5075.0,0.199,3360.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.23,0.24,1445820.0,2.57556,0.373,1440.0,0.664,0.336,2009
129,AR,5077.0,0.253,2730.0,1.3,SNAP,1.85,other nutrition pgm,0.72,0.18,0.1,1302170.0,2.85496,0.289,680.0,0.955,0.045,2009
130,AR,5079.0,0.224,3080.0,1.3,SNAP,1.85,other nutrition pgm,0.62,0.03,0.35,1286130.0,2.49936,0.316,820.0,0.805,0.195,2009
131,AR,5081.0,0.171,2210.0,1.3,SNAP,1.85,other nutrition pgm,0.51,0.26,0.23,920020.0,2.49174,0.252,730.0,0.823,0.177,2009
132,AR,5083.0,0.179,4040.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.28,0.26,1719570.0,2.5476199999999998,0.322,1800.0,0.631,0.369,2009
133,AR,5085.0,0.144,9120.0,1.3,SNAP,1.85,other nutrition pgm,0.39,0.19,0.42,3765700.0,2.47142,0.258,4500.0,0.517,0.483,2009
134,AR,5087.0,0.159,2460.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.29,0.27,1073160.0,2.61112,0.297,1130.0,0.582,0.418,2009
135,AR,5089.0,0.202,3360.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.31,0.25,1398770.0,2.49174,0.366,1170.0,0.624,0.376,2009
136,AR,5091.0,0.168,7230.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.2,0.33,3062010.0,2.53492,0.257,2690.0,0.701,0.299,2009
137,AR,5093.0,0.257,12020.0,1.3,SNAP,1.85,other nutrition pgm,0.6,0.19,0.22,4993730.0,2.48666,0.348,4620.0,0.837,0.163,2009
138,AR,5095.0,0.213,1830.0,1.3,SNAP,1.85,other nutrition pgm,0.64,0.17,0.19,666310.0,2.17932,0.249,520.0,1.0,0.0,2009
139,AR,5097.0,0.162,1470.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.3,0.22,653760.0,2.6619200000000003,0.329,680.0,0.609,0.391,2009
140,AR,5099.0,0.207,1930.0,1.3,SNAP,1.85,other nutrition pgm,0.58,0.12,0.3,928770.0,2.8803599999999996,0.267,600.0,0.706,0.294,2009
141,AR,5101.0,0.186,1540.0,1.3,SNAP,1.85,other nutrition pgm,0.59,0.24,0.17,756120.0,2.93878,0.323,560.0,0.713,0.287,2009
142,AR,5103.0,0.205,5330.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.16,0.2,2232450.0,2.50698,0.245,1520.0,1.0,0.0,2009
143,AR,5105.0,0.158,1630.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.26,0.31,773330.0,2.8397200000000002,0.275,670.0,0.664,0.336,2009
144,AR,5107.0,0.27,5930.0,1.3,SNAP,1.85,other nutrition pgm,0.8,0.06,0.14,2478730.0,2.5019,0.289,1920.0,1.0,0.0,2009
145,AR,5109.0,0.171,1840.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.29,0.22,862820.0,2.8067,0.307,780.0,0.623,0.377,2009
146,AR,5111.0,0.2,4980.0,1.3,SNAP,1.85,other nutrition pgm,0.54,0.28,0.18,2066840.0,2.48412,0.35,2220.0,0.77,0.23,2009
147,AR,5113.0,0.172,3470.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.29,0.24,1447510.0,2.49682,0.335,1630.0,0.663,0.337,2009
148,AR,5115.0,0.169,9960.0,1.3,SNAP,1.85,other nutrition pgm,0.47,0.25,0.28,4104090.0,2.4663399999999998,0.303,4240.0,0.592,0.408,2009
149,AR,5117.0,0.183,1600.0,1.3,SNAP,1.85,other nutrition pgm,0.48,0.3,0.22,752310.0,2.8143200000000004,0.274,500.0,0.785,0.215,2009
150,AR,5119.0,0.173,65100.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.15,0.41,26880150.0,2.47142,0.227,21260.0,0.733,0.267,2009
151,AR,5121.0,0.187,3370.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.23,0.28,1395780.0,2.47904,0.308,1320.0,0.46,0.54,2009
152,AR,5123.0,0.257,6870.0,1.3,SNAP,1.85,other nutrition pgm,0.7,0.02,0.29,2871650.0,2.5019,0.3,2140.0,1.0,0.0,2009
153,AR,5125.0,0.139,13230.0,1.3,SNAP,1.85,other nutrition pgm,0.33,0.22,0.45,5440280.0,2.46126,0.254,5790.0,0.492,0.508,2009
154,AR,5127.0,0.184,2050.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.31,0.16,885600.0,2.5857200000000002,0.366,1030.0,0.685,0.315,2009
155,AR,5129.0,0.177,1410.0,1.3,SNAP,1.85,other nutrition pgm,0.58,0.31,0.12,618100.0,2.62382,0.331,550.0,0.705,0.295,2009
156,AR,5131.0,0.167,20290.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.28,0.27,8007610.0,2.3622,0.313,9920.0,0.641,0.359,2009
157,AR,5133.0,0.157,2590.0,1.3,SNAP,1.85,other nutrition pgm,0.63,0.3,0.07,1083710.0,2.50444,0.316,1550.0,0.726,0.274,2009
158,AR,5135.0,0.19,3360.0,1.3,SNAP,1.85,other nutrition pgm,0.52,0.3,0.18,1388790.0,2.47396,0.348,1300.0,0.689,0.311,2009
159,AR,5137.0,0.2,2380.0,1.3,SNAP,1.85,other nutrition pgm,0.55,0.31,0.14,980700.0,2.4663399999999998,0.368,910.0,0.759,0.241,2009
160,AR,5139.0,0.216,9330.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.16,0.29,3911800.0,2.50952,0.283,3020.0,0.807,0.193,2009
161,AR,5141.0,0.193,3170.0,1.3,SNAP,1.85,other nutrition pgm,0.46,0.25,0.29,1321020.0,2.49428,0.362,1260.0,0.608,0.392,2009
162,AR,5143.0,0.151,29240.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.24,0.31,11353670.0,2.3241,0.289,14370.0,0.595,0.405,2009
