,Year,State,Age Group (Years),State Rate,State Births,U.S. Births,U.S. Birth Rate,Unit
2621,2014,Maryland,15-19 years,17.8,"3,379","249,078",24.2,"per 1,000"
2622,2014,Massachusetts,15-19 years,10.6,"2,404","249,078",24.2,"per 1,000"
2623,2014,Michigan,15-19 years,21.1,"6,967","249,078",24.2,"per 1,000"
2624,2014,Minnesota,15-19 years,15.5,"2,709","249,078",24.2,"per 1,000"
2625,2014,Mississippi,15-19 years,38.0,"3,853","249,078",24.2,"per 1,000"
2626,2014,Missouri,15-19 years,27.2,"5,232","249,078",24.2,"per 1,000"
2627,2014,Montana,15-19 years,26.4,807,"249,078",24.2,"per 1,000"
2628,2014,Nebraska,15-19 years,22.2,"1,390","249,078",24.2,"per 1,000"
2629,2014,Nevada,15-19 years,28.5,"2,448","249,078",24.2,"per 1,000"
2630,2014,New Hampshire,15-19 years,11.0,484,"249,078",24.2,"per 1,000"
2631,2014,New Jersey,15-19 years,13.1,"3,678","249,078",24.2,"per 1,000"
2632,2014,New Mexico,15-19 years,37.8,"2,543","249,078",24.2,"per 1,000"
2633,2014,New York,15-19 years,16.1,"9,954","249,078",24.2,"per 1,000"
2634,2014,North Carolina,15-19 years,25.9,"8,280","249,078",24.2,"per 1,000"
2635,2014,North Dakota,15-19 years,23.9,564,"249,078",24.2,"per 1,000"
2636,2014,Ohio,15-19 years,25.1,"9,473","249,078",24.2,"per 1,000"
2637,2014,Oklahoma,15-19 years,38.5,"4,802","249,078",24.2,"per 1,000"
2638,2014,Oregon,15-19 years,20.0,"2,390","249,078",24.2,"per 1,000"
2639,2014,Pennsylvania,15-19 years,19.3,"7,892","249,078",24.2,"per 1,000"
2640,2014,Rhode Island,15-19 years,15.8,590,"249,078",24.2,"per 1,000"
2641,2014,South Carolina,15-19 years,28.5,"4,297","249,078",24.2,"per 1,000"
2642,2014,South Dakota,15-19 years,26.2,735,"249,078",24.2,"per 1,000"
2643,2014,Tennessee,15-19 years,33.0,"6,756","249,078",24.2,"per 1,000"
2644,2014,Texas,15-19 years,37.8,"35,063","249,078",24.2,"per 1,000"
2645,2014,Total U.S.,15-19 years,24.2,"249,078","249,078",24.2,"per 1,000"
2646,2014,Utah,15-19 years,19.4,"2,163","249,078",24.2,"per 1,000"
2647,2014,Virginia,15-19 years,18.4,"4,859","249,078",24.2,"per 1,000"
2648,2014,Washington,15-19 years,19.1,"4,092","249,078",24.2,"per 1,000"
2649,2014,West Virginia,15-19 years,36.6,"1,972","249,078",24.2,"per 1,000"
2650,2014,Wisconsin,15-19 years,18.0,"3,378","249,078",24.2,"per 1,000"
2651,2014,Wyoming,15-19 years,30.1,545,"249,078",24.2,"per 1,000"
2652,2015,Alabama,15-19 years,30.1,"4,739","229,715",22.3,"per 1,000"
2653,2015,Alaska,15-19 years,29.3,662,"229,715",22.3,"per 1,000"
2654,2015,Arizona,15-19 years,26.3,"5,910","229,715",22.3,"per 1,000"
2655,2015,Arkansas,15-19 years,38.0,"3,677","229,715",22.3,"per 1,000"
2656,2015,California,15-19 years,19.0,"24,175","229,715",22.3,"per 1,000"
2657,2015,Colorado,15-19 years,19.3,"3,270","229,715",22.3,"per 1,000"
2658,2015,Connecticut,15-19 years,10.1,"1,241","229,715",22.3,"per 1,000"
2659,2015,Delaware,15-19 years,18.1,540,"229,715",22.3,"per 1,000"
2660,2015,District of Columbia,15-19 years,25.6,501,"229,715",22.3,"per 1,000"
2661,2015,Florida,15-19 years,20.8,"11,957","229,715",22.3,"per 1,000"
2662,2015,Georgia,15-19 years,25.6,"8,829","229,715",22.3,"per 1,000"
2663,2015,Hawaii,15-19 years,20.6,789,"229,715",22.3,"per 1,000"
2664,2015,Idaho,15-19 years,22.5,"1,288","229,715",22.3,"per 1,000"
2665,2015,Illinois,15-19 years,21.1,"8,764","229,715",22.3,"per 1,000"
2666,2015,Indiana,15-19 years,26.0,"5,813","229,715",22.3,"per 1,000"
2667,2015,Iowa,15-19 years,18.6,"1,943","229,715",22.3,"per 1,000"
2668,2015,Kansas,15-19 years,25.5,"2,479","229,715",22.3,"per 1,000"
2669,2015,Kentucky,15-19 years,32.4,"4,503","229,715",22.3,"per 1,000"
