"States:  Employment status of the civilian noninstitutional population by sex, race, Hispanic or Latino ethnicity, marital status, and detailed age, 2016 annual averages",,,,,,,,,,,,,
,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,
State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Civilian labor force,,,,,,,,
01,22,Alabama,"Total, 35 to 44 years",580    ,443    ,76.4    ,424    ,73.1    ,19    ,4.3    ,3.0  ,–,5.6  
01,23,Alabama,"Total, 45 to 54 years",652    ,478    ,73.2    ,462    ,70.8    ,16    ,3.3    ,2.2  ,–,4.4  
01,24,Alabama,"Total, 55 to 64 years",648    ,337    ,52.0    ,324    ,49.9    ,13    ,3.9    ,2.5  ,–,5.3  
01,25,Alabama,"Total, 65 years and over",741    ,112    ,15.0    ,108    ,14.6    ,3    ,2.8    ,0.7  ,–,4.9  
01,27,Alabama,"Men, 20 to 24 years",166    ,121    ,72.6    ,107    ,64.7    ,13    ,11.0    ,7.0  ,–,15.0  
01,28,Alabama,"Men, 25 to 34 years",300    ,257    ,85.7    ,232    ,77.5    ,25    ,9.6    ,7.0  ,–,12.2  
01,29,Alabama,"Men, 35 to 44 years",275    ,235    ,85.6    ,225    ,82.0    ,10    ,4.2    ,2.4  ,–,6.0  
01,30,Alabama,"Men, 45 to 54 years",321    ,253    ,78.8    ,245    ,76.2    ,8    ,3.3    ,1.8  ,–,4.8  
01,31,Alabama,"Men, 55 to 64 years",299    ,180    ,60.2    ,172    ,57.5    ,8    ,4.5    ,2.4  ,–,6.6  
01,32,Alabama,"Men, 65 years and over",324    ,61    ,18.8    ,58    ,18.1    ,2    ,4.0    ,0.6  ,–,7.4  
01,33,Alabama,"Women, 16 to 19 years",124    ,42    ,34.0    ,35    ,28.5    ,7    ,16.3    ,8.0  ,–,24.6  
01,34,Alabama,"Women, 20 to 24 years",190    ,125    ,65.6    ,113    ,59.7    ,11    ,9.0    ,5.4  ,–,12.6  
01,35,Alabama,"Women, 25 to 34 years",295    ,215    ,73.1    ,201    ,68.1    ,15    ,6.8    ,4.4  ,–,9.2  
01,36,Alabama,"Women, 35 to 44 years",305    ,208    ,68.1    ,199    ,65.1    ,9    ,4.5    ,2.5  ,–,6.5  
01,37,Alabama,"Women, 45 to 54 years",331    ,224    ,67.8    ,217    ,65.5    ,8    ,3.4    ,1.7  ,–,5.1  
01,38,Alabama,"Women, 55 to 64 years",349    ,157    ,45.0    ,152    ,43.5    ,5    ,3.3    ,1.4  ,–,5.2  
01,39,Alabama,"Women, 65 years and over",418    ,51    ,12.1    ,50    ,12.0    ,1    ,1.4    ,( 2 ),–,( 2 )
01,40,Alabama,"White, 16 to 19 years",163    ,57    ,35.0    ,47    ,28.7    ,10    ,17.9    ,10.4  ,–,25.4  
01,41,Alabama,"White, 20 to 24 years",216    ,145    ,67.0    ,137    ,63.3    ,8    ,5.5    ,2.9  ,–,8.1  
01,42,Alabama,"White, 25 to 34 years",392    ,313    ,79.9    ,295    ,75.1    ,19    ,6.0    ,4.1  ,–,7.9  
01,43,Alabama,"White, 35 to 44 years",393    ,303    ,77.2    ,293    ,74.5    ,11    ,3.5    ,2.1  ,–,4.9  
01,44,Alabama,"White, 45 to 54 years",460    ,344    ,74.8    ,334    ,72.7    ,9    ,2.7    ,1.5  ,–,3.9  
01,45,Alabama,"White, 55 to 64 years",467    ,251    ,53.8    ,242    ,51.7    ,10    ,3.8    ,2.1  ,–,5.5  
01,46,Alabama,"White, 65 years and over",598    ,92    ,15.4    ,89    ,15.0    ,2    ,2.7    ,0.4  ,–,5.0  
01,48,Alabama,"Black or African American, 20 to 24 years",117    ,88    ,74.7    ,72    ,61.5    ,15    ,17.6    ,10.8  ,–,24.4  
01,49,Alabama,"Black or African American, 25 to 34 years",167    ,135    ,80.7    ,115    ,68.8    ,20    ,14.8    ,9.8  ,–,19.8  
01,50,Alabama,"Black or African American, 35 to 44 years",167    ,127    ,75.9    ,118    ,71.0    ,8    ,6.5    ,3.1  ,–,9.9  
01,51,Alabama,"Black or African American, 45 to 54 years",169    ,116    ,69.0    ,110    ,65.1    ,7    ,5.6    ,2.3  ,–,8.9  
01,52,Alabama,"Black or African American, 55 to 64 years",161    ,73    ,45.5    ,70    ,43.6    ,3    ,4.0    ,0.5  ,–,7.5  
02,01,Alaska,Total,546    ,359    ,65.9    ,335    ,61.5    ,24    ,6.6    ,5.6  ,–,7.6  
02,02,Alaska,Men,280    ,193    ,68.9    ,179    ,63.9    ,14    ,7.2    ,5.8  ,–,8.6  
02,03,Alaska,Women,265    ,166    ,62.6    ,156    ,58.9    ,10    ,6.0    ,4.6  ,–,7.4  
02,04,Alaska,White,363    ,243    ,67.0    ,231    ,63.7    ,12    ,5.0    ,3.9  ,–,6.1  
02,05,Alaska,"White, men",189    ,132    ,70.1    ,125    ,66.1    ,8    ,5.7    ,4.2  ,–,7.2  
02,06,Alaska,"White, women",174    ,111    ,63.7    ,106    ,61.0    ,5    ,4.2    ,2.7  ,–,5.7  
02,07,Alaska,Black or African American,19    ,15    ,79.4    ,14    ,74.6    ,1    ,6.1    ,2.2  ,–,10.0  
02,10,Alaska,Asian,38    ,25    ,66.7    ,24    ,63.6    ,1    ,4.7    ,2.4  ,–,7.0  
02,11,Alaska,"Asian, men",17    ,13    ,74.4    ,12    ,70.4    ,1    ,5.5    ,2.0  ,–,9.0  
02,12,Alaska,"Asian, women",21    ,13    ,60.6    ,12    ,58.2    ,1    ,4.0    ,1.0  ,–,7.0  
02,13,Alaska,Hispanic or Latino ethnicity,33    ,25    ,75.5    ,24    ,72.2    ,1    ,4.4    ,2.0  ,–,6.8  
02,14,Alaska,"Hispanic or Latino ethnicity, men",17    ,13    ,80.4    ,13    ,76.4    ,1    ,5.0    ,1.6  ,–,8.4  
02,16,Alaska,"Married men, spouse present",142    ,103    ,72.8    ,99    ,69.5    ,5    ,4.6    ,3.0  ,–,6.2  
02,17,Alaska,"Married women, spouse present",135    ,86    ,63.4    ,82    ,60.7    ,4    ,4.2    ,2.6  ,–,5.8  
02,18,Alaska,Women who maintain families,29    ,22    ,73.7    ,20    ,67.3    ,2    ,8.7    ,3.9  ,–,13.5  
02,19,Alaska,"Total, 16 to 19 years",38    ,13    ,35.1    ,11    ,28.2    ,3    ,19.7    ,10.6  ,–,28.8  
02,20,Alaska,"Total, 20 to 24 years",53    ,38    ,71.4    ,35    ,64.7    ,4    ,9.3    ,5.6  ,–,13.0  
02,21,Alaska,"Total, 25 to 34 years",109    ,86    ,79.3    ,80    ,73.8    ,6    ,6.9    ,4.8  ,–,9.0  
02,22,Alaska,"Total, 35 to 44 years",86    ,72    ,82.9    ,67    ,78.0    ,4    ,5.8    ,3.7  ,–,7.9  
02,23,Alaska,"Total, 45 to 54 years",91    ,74    ,81.0    ,70    ,77.3    ,3    ,4.6    ,2.7  ,–,6.5  
02,24,Alaska,"Total, 55 to 64 years",89    ,57    ,63.9    ,54    ,60.7    ,3    ,5.0    ,2.8  ,–,7.2  
02,25,Alaska,"Total, 65 years and over",79    ,19    ,24.5    ,18    ,22.9    ,1    ,6.6    ,2.2  ,–,11.0  
02,27,Alaska,"Men, 20 to 24 years",27    ,20    ,72.5    ,18    ,64.7    ,2    ,10.7    ,5.2  ,–,16.2  
02,28,Alaska,"Men, 25 to 34 years",55    ,48    ,86.7    ,44    ,79.9    ,4    ,7.9    ,4.9  ,–,10.9  
02,29,Alaska,"Men, 35 to 44 years",45    ,40    ,87.2    ,37    ,81.8    ,2    ,6.2    ,3.2  ,–,9.2  
02,30,Alaska,"Men, 45 to 54 years",46    ,39    ,83.7    ,37    ,79.5    ,2    ,5.0    ,2.3  ,–,7.7  
02,31,Alaska,"Men, 55 to 64 years",46    ,30    ,64.7    ,29    ,61.7    ,1    ,4.7    ,1.7  ,–,7.7  
02,34,Alaska,"Women, 20 to 24 years",26    ,18    ,70.2    ,17    ,64.7    ,1    ,7.8    ,2.9  ,–,12.7  
02,35,Alaska,"Women, 25 to 34 years",54    ,38    ,71.7    ,36    ,67.6    ,2    ,5.7    ,2.8  ,–,8.6  
02,36,Alaska,"Women, 35 to 44 years",41    ,32    ,78.1    ,30    ,73.9    ,2    ,5.3    ,2.3  ,–,8.3  
02,37,Alaska,"Women, 45 to 54 years",45    ,35    ,78.3    ,34    ,74.9    ,2    ,4.3    ,1.7  ,–,6.9  
02,38,Alaska,"Women, 55 to 64 years",42    ,27    ,63.1    ,25    ,59.6    ,1    ,5.4    ,2.0  ,–,8.8  
02,41,Alaska,"White, 20 to 24 years",31    ,23    ,73.0    ,21    ,67.1    ,2    ,8.0    ,3.6  ,–,12.4  
02,42,Alaska,"White, 25 to 34 years",65    ,54    ,83.1    ,52    ,79.2    ,3    ,4.8    ,2.6  ,–,7.0  
02,43,Alaska,"White, 35 to 44 years",55    ,46    ,83.2    ,44    ,80.6    ,1    ,3.2    ,1.2  ,–,5.2  
02,44,Alaska,"White, 45 to 54 years",62    ,51    ,81.7    ,49    ,78.9    ,2    ,3.4    ,1.5  ,–,5.3  
02,45,Alaska,"White, 55 to 64 years",70    ,46    ,65.2    ,44    ,62.2    ,2    ,4.6    ,2.2  ,–,7.0  
02,46,Alaska,"White, 65 years and over",59    ,15    ,25.9    ,14    ,24.3    ,1    ,6.1    ,1.4  ,–,10.8  
04,01,Arizona,Total,"5,374    ","3,243    ",60.4    ,"3,076    ",57.2    ,168    ,5.2    ,4.6  ,–,5.8  
04,02,Arizona,Men,"2,614    ","1,767    ",67.6    ,"1,676    ",64.1    ,90    ,5.1    ,4.2  ,–,6.0  
04,03,Arizona,Women,"2,759    ","1,477    ",53.5    ,"1,399    ",50.7    ,77    ,5.2    ,4.2  ,–,6.2  
04,04,Arizona,White,"4,648    ","2,800    ",60.2    ,"2,658    ",57.2    ,142    ,5.1    ,4.4  ,–,5.8  
04,05,Arizona,"White, men","2,259    ","1,533    ",67.8    ,"1,457    ",64.5    ,76    ,5.0    ,4.1  ,–,5.9  
04,06,Arizona,"White, women","2,388    ","1,267    ",53.0    ,"1,201    ",50.3    ,65    ,5.2    ,4.2  ,–,6.2  
04,07,Arizona,Black or African American,251    ,171    ,67.9    ,159    ,63.3    ,12    ,6.8    ,3.7  ,–,9.9  
04,08,Arizona,"Black or African American, men",128    ,92    ,72.4    ,88    ,68.6    ,5    ,5.2    ,1.5  ,–,8.9  
04,09,Arizona,"Black or African American, women",124    ,78    ,63.3    ,72    ,57.9    ,7    ,8.6    ,3.4  ,–,13.8  
04,10,Arizona,Asian,206    ,122    ,59.4    ,119    ,58.0    ,3    ,2.2    ,0.7  ,–,3.7  
04,13,Arizona,Hispanic or Latino ethnicity,"1,693    ","1,096    ",64.7    ,"1,019    ",60.2    ,77    ,7.1    ,5.6  ,–,8.6  
04,14,Arizona,"Hispanic or Latino ethnicity, men",850    ,633    ,74.5    ,591    ,69.6    ,42    ,6.7    ,4.8  ,–,8.6  
04,15,Arizona,"Hispanic or Latino ethnicity, women",844    ,463    ,54.9    ,428    ,50.7    ,35    ,7.6    ,5.2  ,–,10.0  
04,16,Arizona,"Married men, spouse present","1,364    ",957    ,70.1    ,933    ,68.4    ,24    ,2.5    ,1.7  ,–,3.3  
04,17,Arizona,"Married women, spouse present","1,334    ",699    ,52.4    ,670    ,50.2    ,29    ,4.2    ,2.9  ,–,5.5  
04,18,Arizona,Women who maintain families,324    ,210    ,64.8    ,200    ,61.8    ,10    ,4.7    ,2.3  ,–,7.1  
04,19,Arizona,"Total, 16 to 19 years",375    ,138    ,36.8    ,119    ,31.7    ,19    ,14.0    ,8.8  ,–,19.2  
04,20,Arizona,"Total, 20 to 24 years",482    ,343    ,71.3    ,309    ,64.2    ,34    ,9.9    ,7.2  ,–,12.6  
04,21,Arizona,"Total, 25 to 34 years",848    ,681    ,80.3    ,651    ,76.8    ,30    ,4.4    ,3.1  ,–,5.7  
04,22,Arizona,"Total, 35 to 44 years",853    ,682    ,79.9    ,657    ,77.0    ,25    ,3.6    ,2.4  ,–,4.8  
04,23,Arizona,"Total, 45 to 54 years",937    ,731    ,78.0    ,700    ,74.7    ,31    ,4.3    ,3.1  ,–,5.5  
04,24,Arizona,"Total, 55 to 64 years",817    ,497    ,60.8    ,477    ,58.3    ,20    ,4.0    ,2.6  ,–,5.4  
04,25,Arizona,"Total, 65 years and over","1,062    ",172    ,16.2    ,163    ,15.4    ,8    ,4.9    ,2.2  ,–,7.6  
04,27,Arizona,"Men, 20 to 24 years",243    ,184    ,75.8    ,164    ,67.6    ,20    ,10.9    ,7.0  ,–,14.8  
04,28,Arizona,"Men, 25 to 34 years",420    ,373    ,88.7    ,358    ,85.2    ,14    ,3.9    ,2.2  ,–,5.6  
04,29,Arizona,"Men, 35 to 44 years",432    ,391    ,90.4    ,378    ,87.4    ,13    ,3.3    ,1.8  ,–,4.8  
04,30,Arizona,"Men, 45 to 54 years",469    ,401    ,85.6    ,385    ,82.2    ,16    ,3.9    ,2.3  ,–,5.5  
04,31,Arizona,"Men, 55 to 64 years",372    ,261    ,70.3    ,249    ,66.9    ,13    ,4.8    ,2.6  ,–,7.0  
04,32,Arizona,"Men, 65 years and over",495    ,90    ,18.3    ,87    ,17.5    ,4    ,4.0    ,0.6  ,–,7.4  
04,33,Arizona,"Women, 16 to 19 years",191    ,72    ,37.5    ,63    ,33.1    ,8    ,11.8    ,5.2  ,–,18.4  
04,34,Arizona,"Women, 20 to 24 years",239    ,159    ,66.7    ,145    ,60.8    ,14    ,8.8    ,5.0  ,–,12.6  
04,35,Arizona,"Women, 25 to 34 years",427    ,308    ,72.1    ,292    ,68.4    ,16    ,5.0    ,2.9  ,–,7.1  
04,36,Arizona,"Women, 35 to 44 years",421    ,291    ,69.2    ,280    ,66.4    ,12    ,4.0    ,2.1  ,–,5.9  
04,37,Arizona,"Women, 45 to 54 years",469    ,330    ,70.4    ,315    ,67.1    ,15    ,4.7    ,2.8  ,–,6.6  
04,38,Arizona,"Women, 55 to 64 years",446    ,236    ,52.8    ,228    ,51.2    ,7    ,3.2    ,1.3  ,–,5.1  
04,39,Arizona,"Women, 65 years and over",567    ,81    ,14.4    ,77    ,13.5    ,5    ,5.8    ,1.5  ,–,10.1  
04,40,Arizona,"White, 16 to 19 years",304    ,118    ,38.8    ,100    ,33.0    ,18    ,14.9    ,9.1  ,–,20.7  
04,41,Arizona,"White, 20 to 24 years",402    ,287    ,71.5    ,260    ,64.7    ,27    ,9.5    ,6.6  ,–,12.4  
04,42,Arizona,"White, 25 to 34 years",696    ,566    ,81.3    ,541    ,77.8    ,25    ,4.4    ,3.0  ,–,5.8  
04,43,Arizona,"White, 35 to 44 years",729    ,583    ,80.0    ,562    ,77.1    ,21    ,3.6    ,2.3  ,–,4.9  
04,44,Arizona,"White, 45 to 54 years",806    ,642    ,79.6    ,616    ,76.4    ,26    ,4.0    ,2.7  ,–,5.3  
04,45,Arizona,"White, 55 to 64 years",734    ,443    ,60.4    ,425    ,58.0    ,18    ,4.0    ,2.5  ,–,5.5  
04,46,Arizona,"White, 65 years and over",977    ,161    ,16.4    ,153    ,15.6    ,8    ,4.9    ,2.1  ,–,7.7  
04,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",218    ,158    ,72.5    ,138    ,63.5    ,20    ,12.4    ,7.3  ,–,17.5  
04,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",323    ,248    ,77.0    ,233    ,72.3    ,15    ,6.0    ,3.2  ,–,8.8  
04,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",318    ,247    ,77.6    ,238    ,75.0    ,8    ,3.4    ,1.2  ,–,5.6  
04,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",287    ,220    ,76.5    ,206    ,71.6    ,14    ,6.4    ,3.3  ,–,9.5  
04,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",221    ,137    ,61.8    ,130    ,58.6    ,7    ,5.2    ,1.6  ,–,8.8  
05,01,Arkansas,Total,"2,311    ","1,348    ",58.4    ,"1,296    ",56.1    ,53    ,3.9    ,3.4  ,–,4.4  
05,02,Arkansas,Men,"1,112    ",715    ,64.3    ,689    ,62.0    ,26    ,3.6    ,2.9  ,–,4.3  
05,03,Arkansas,Women,"1,198    ",633    ,52.8    ,606    ,50.6    ,27    ,4.2    ,3.4  ,–,5.0  
05,04,Arkansas,White,"1,876    ","1,090    ",58.1    ,"1,056    ",56.3    ,35    ,3.2    ,2.6  ,–,3.8  
05,05,Arkansas,"White, men",912    ,587    ,64.3    ,568    ,62.3    ,18    ,3.1    ,2.4  ,–,3.8  
05,06,Arkansas,"White, women",964    ,504    ,52.3    ,487    ,50.5    ,16    ,3.3    ,2.5  ,–,4.1  
05,07,Arkansas,Black or African American,338    ,201    ,59.3    ,185    ,54.7    ,15    ,7.7    ,5.6  ,–,9.8  
05,08,Arkansas,"Black or African American, men",152    ,94    ,61.8    ,88    ,57.5    ,7    ,6.9    ,3.9  ,–,9.9  
05,09,Arkansas,"Black or African American, women",186    ,107    ,57.3    ,98    ,52.5    ,9    ,8.4    ,5.3  ,–,11.5  
05,13,Arkansas,Hispanic or Latino ethnicity,133    ,98    ,73.2    ,94    ,70.6    ,3    ,3.6    ,1.7  ,–,5.5  
05,14,Arkansas,"Hispanic or Latino ethnicity, men",73    ,62    ,85.4    ,60    ,82.6    ,2    ,3.2    ,0.9  ,–,5.5  
05,16,Arkansas,"Married men, spouse present",629    ,429    ,68.2    ,421    ,66.8    ,8    ,1.9    ,1.2  ,–,2.6  
05,17,Arkansas,"Married women, spouse present",623    ,347    ,55.6    ,337    ,54.0    ,10    ,2.8    ,1.9  ,–,3.7  
05,18,Arkansas,Women who maintain families,144    ,93    ,64.3    ,88    ,60.8    ,5    ,5.4    ,2.9  ,–,7.9  
05,19,Arkansas,"Total, 16 to 19 years",152    ,51    ,33.8    ,44    ,29.2    ,7    ,13.6    ,8.3  ,–,18.9  
05,20,Arkansas,"Total, 20 to 24 years",176    ,127    ,72.6    ,119    ,67.5    ,9    ,7.0    ,4.6  ,–,9.4  
05,21,Arkansas,"Total, 25 to 34 years",400    ,319    ,79.8    ,305    ,76.2    ,14    ,4.4    ,3.2  ,–,5.6  
05,22,Arkansas,"Total, 35 to 44 years",362    ,289    ,79.7    ,280    ,77.2    ,9    ,3.1    ,2.0  ,–,4.2  
05,23,Arkansas,"Total, 45 to 54 years",380    ,287    ,75.7    ,280    ,73.7    ,8    ,2.7    ,1.7  ,–,3.7  
05,24,Arkansas,"Total, 55 to 64 years",376    ,202    ,53.8    ,198    ,52.5    ,5    ,2.3    ,1.2  ,–,3.4  
05,25,Arkansas,"Total, 65 years and over",465    ,72    ,15.5    ,71    ,15.3    ,1    ,1.7    ,0.1  ,–,3.3  
05,27,Arkansas,"Men, 20 to 24 years",87    ,67    ,76.5    ,61    ,70.2    ,6    ,8.2    ,4.6  ,–,11.8  
05,28,Arkansas,"Men, 25 to 34 years",198    ,174    ,88.0    ,170    ,85.7    ,5    ,2.6    ,1.3  ,–,3.9  
05,29,Arkansas,"Men, 35 to 44 years",177    ,153    ,86.4    ,147    ,83.2    ,6    ,3.8    ,2.2  ,–,5.4  
05,30,Arkansas,"Men, 45 to 54 years",183    ,151    ,82.8    ,148    ,80.9    ,3    ,2.3    ,1.0  ,–,3.6  
05,31,Arkansas,"Men, 55 to 64 years",177    ,106    ,59.6    ,103    ,58.0    ,3    ,2.7    ,1.1  ,–,4.3  
05,32,Arkansas,"Men, 65 years and over",216    ,40    ,18.7    ,40    ,18.5    ,1    ,1.5    ,( 2 ),–,( 2 )
05,34,Arkansas,"Women, 20 to 24 years",88    ,60    ,68.7    ,57    ,64.8    ,3    ,5.6    ,2.5  ,–,8.7  
05,35,Arkansas,"Women, 25 to 34 years",202    ,145    ,71.7    ,135    ,67.0    ,10    ,6.6    ,4.4  ,–,8.8  
05,36,Arkansas,"Women, 35 to 44 years",185    ,136    ,73.2    ,133    ,71.5    ,3    ,2.4    ,1.0  ,–,3.8  
05,37,Arkansas,"Women, 45 to 54 years",197    ,136    ,69.1    ,132    ,66.9    ,4    ,3.1    ,1.5  ,–,4.7  
05,38,Arkansas,"Women, 55 to 64 years",199    ,97    ,48.5    ,95    ,47.6    ,2    ,1.9    ,0.5  ,–,3.3  
05,40,Arkansas,"White, 16 to 19 years",113    ,39    ,34.4    ,34    ,29.6    ,5    ,13.9    ,7.8  ,–,20.0  
05,41,Arkansas,"White, 20 to 24 years",133    ,97    ,73.1    ,93    ,69.6    ,5    ,4.8    ,2.5  ,–,7.1  
05,42,Arkansas,"White, 25 to 34 years",312    ,248    ,79.7    ,240    ,76.9    ,9    ,3.6    ,2.4  ,–,4.8  
05,43,Arkansas,"White, 35 to 44 years",287    ,233    ,81.1    ,228    ,79.4    ,5    ,2.2    ,1.2  ,–,3.2  
05,44,Arkansas,"White, 45 to 54 years",307    ,234    ,76.2    ,228    ,74.2    ,6    ,2.6    ,1.5  ,–,3.7  
05,45,Arkansas,"White, 55 to 64 years",310    ,173    ,55.8    ,169    ,54.6    ,4    ,2.1    ,1.0  ,–,3.2  
05,46,Arkansas,"White, 65 years and over",414    ,65    ,15.8    ,65    ,15.6    ,1    ,1.1    ,( 2 ),–,( 2 )
05,49,Arkansas,"Black or African American, 25 to 34 years",68    ,55    ,81.2    ,50    ,74.4    ,5    ,8.4    ,4.1  ,–,12.7  
05,50,Arkansas,"Black or African American, 35 to 44 years",57    ,42    ,73.8    ,39    ,68.0    ,3    ,7.8    ,3.1  ,–,12.5  
05,51,Arkansas,"Black or African American, 45 to 54 years",55    ,40    ,72.1    ,38    ,69.2    ,2    ,3.9    ,0.5  ,–,7.3  
06,01,California,Total,"30,669    ","19,076    ",62.2    ,"18,048    ",58.8    ,"1,027    ",5.4    ,5.1  ,–,5.7  
06,02,California,Men,"14,978    ","10,516    ",70.2    ,"9,967    ",66.5    ,549    ,5.2    ,4.8  ,–,5.6  
06,03,California,Women,"15,691    ","8,560    ",54.6    ,"8,081    ",51.5    ,478    ,5.6    ,5.2  ,–,6.0  
06,04,California,White,"22,190    ","13,806    ",62.2    ,"13,060    ",58.9    ,747    ,5.4    ,5.1  ,–,5.7  
06,05,California,"White, men","10,990    ","7,799    ",71.0    ,"7,403    ",67.4    ,396    ,5.1    ,4.7  ,–,5.5  
06,06,California,"White, women","11,200    ","6,007    ",53.6    ,"5,656    ",50.5    ,351    ,5.8    ,5.3  ,–,6.3  
06,07,California,Black or African American,"1,927    ","1,150    ",59.7    ,"1,049    ",54.4    ,101    ,8.8    ,7.4  ,–,10.2  
06,08,California,"Black or African American, men",915    ,571    ,62.4    ,513    ,56.0    ,58    ,10.2    ,8.0  ,–,12.4  
06,09,California,"Black or African American, women","1,012    ",579    ,57.2    ,537    ,53.0    ,43    ,7.4    ,5.6  ,–,9.2  
06,10,California,Asian,"5,041    ","3,141    ",62.3    ,"3,022    ",59.9    ,119    ,3.8    ,3.3  ,–,4.3  
06,11,California,"Asian, men","2,368    ","1,650    ",69.7    ,"1,588    ",67.1    ,61    ,3.7    ,3.0  ,–,4.4  
06,12,California,"Asian, women","2,673    ","1,491    ",55.8    ,"1,433    ",53.6    ,58    ,3.9    ,3.1  ,–,4.7  
06,13,California,Hispanic or Latino ethnicity,"10,584    ","6,834    ",64.6    ,"6,386    ",60.3    ,448    ,6.6    ,6.1  ,–,7.1  
06,14,California,"Hispanic or Latino ethnicity, men","5,250    ","3,949    ",75.2    ,"3,715    ",70.8    ,234    ,5.9    ,5.2  ,–,6.6  
06,15,California,"Hispanic or Latino ethnicity, women","5,334    ","2,885    ",54.1    ,"2,671    ",50.1    ,215    ,7.4    ,6.5  ,–,8.3  
06,16,California,"Married men, spouse present","7,592    ","5,707    ",75.2    ,"5,532    ",72.9    ,175    ,3.1    ,2.7  ,–,3.5  
06,17,California,"Married women, spouse present","7,452    ","4,053    ",54.4    ,"3,879    ",52.1    ,174    ,4.3    ,3.7  ,–,4.9  
06,18,California,Women who maintain families,"1,789    ","1,165    ",65.1    ,"1,086    ",60.7    ,79    ,6.8    ,5.5  ,–,8.1  
06,19,California,"Total, 16 to 19 years","2,062    ",578    ,28.0    ,475    ,23.0    ,103    ,17.8    ,14.8  ,–,20.8  
06,20,California,"Total, 20 to 24 years","2,831    ","1,874    ",66.2    ,"1,725    ",60.9    ,149    ,8.0    ,6.9  ,–,9.1  
06,21,California,"Total, 25 to 34 years","5,552    ","4,430    ",79.8    ,"4,172    ",75.1    ,258    ,5.8    ,5.2  ,–,6.4  
06,22,California,"Total, 35 to 44 years","5,172    ","4,110    ",79.5    ,"3,934    ",76.1    ,176    ,4.3    ,3.7  ,–,4.9  
06,23,California,"Total, 45 to 54 years","5,190    ","4,085    ",78.7    ,"3,921    ",75.5    ,164    ,4.0    ,3.5  ,–,4.5  
06,24,California,"Total, 55 to 64 years","4,734    ","2,978    ",62.9    ,"2,845    ",60.1    ,133    ,4.5    ,3.8  ,–,5.2  
06,25,California,"Total, 65 years and over","5,127    ","1,022    ",19.9    ,977    ,19.1    ,44    ,4.3    ,3.2  ,–,5.4  
