"States:  Employment status of the civilian noninstitutional population by sex, race, Hispanic or Latino ethnicity, marital status, and detailed age, 2013 annual averages",,,,,,,,,,,,,
,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,
State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Civilian labor force,,,,,,,,
01,22,Alabama,"Total, 35 to 44 years",627    ,476    ,75.9    ,453    ,72.2    ,23    ,4.9    ,3.5  ,–,6.3  
01,23,Alabama,"Total, 45 to 54 years",628    ,458    ,73.0    ,437    ,69.7    ,21    ,4.6    ,3.2  ,–,6.0  
01,24,Alabama,"Total, 55 to 64 years",673    ,368    ,54.6    ,356    ,52.9    ,12    ,3.2    ,1.9  ,–,4.5  
01,25,Alabama,"Total, 65 years and over",668    ,112    ,16.7    ,108    ,16.2    ,4    ,3.3    ,0.9  ,–,5.7  
01,27,Alabama,"Men, 20 to 24 years",183    ,139    ,76.0    ,118    ,64.7    ,21    ,15.0    ,10.5  ,–,19.5  
01,28,Alabama,"Men, 25 to 34 years",266    ,227    ,85.3    ,211    ,79.2    ,16    ,7.2    ,4.8  ,–,9.6  
01,29,Alabama,"Men, 35 to 44 years",306    ,252    ,82.4    ,241    ,78.9    ,11    ,4.3    ,2.5  ,–,6.1  
01,30,Alabama,"Men, 45 to 54 years",294    ,229    ,77.9    ,217    ,73.8    ,12    ,5.3    ,3.2  ,–,7.4  
01,31,Alabama,"Men, 55 to 64 years",317    ,191    ,60.2    ,183    ,57.8    ,8    ,4.1    ,2.1  ,–,6.1  
01,32,Alabama,"Men, 65 years and over",301    ,67    ,22.1    ,65    ,21.7    ,1    ,1.9    ,( 2 ),–,( 2 )
01,33,Alabama,"Women, 16 to 19 years",118    ,35    ,30.0    ,30    ,25.3    ,6    ,15.6    ,6.5  ,–,24.7  
01,34,Alabama,"Women, 20 to 24 years",175    ,112    ,64.2    ,97    ,55.7    ,15    ,13.2    ,8.5  ,–,17.9  
01,35,Alabama,"Women, 25 to 34 years",309    ,225    ,72.8    ,202    ,65.3    ,23    ,10.3    ,7.4  ,–,13.2  
01,36,Alabama,"Women, 35 to 44 years",322    ,225    ,69.8    ,212    ,65.9    ,12    ,5.6    ,3.4  ,–,7.8  
01,37,Alabama,"Women, 45 to 54 years",334    ,229    ,68.7    ,221    ,66.1    ,9    ,3.9    ,2.1  ,–,5.7  
01,38,Alabama,"Women, 55 to 64 years",356    ,176    ,49.6    ,173    ,48.5    ,4    ,2.2    ,0.6  ,–,3.8  
01,39,Alabama,"Women, 65 years and over",368    ,45    ,12.3    ,43    ,11.7    ,2    ,5.4    ,0.6  ,–,10.2  
01,40,Alabama,"White, 16 to 19 years",142    ,50    ,35.6    ,42    ,29.6    ,8    ,16.8    ,8.9  ,–,24.7  
01,41,Alabama,"White, 20 to 24 years",226    ,176    ,77.7    ,158    ,69.6    ,18    ,10.4    ,7.1  ,–,13.7  
01,42,Alabama,"White, 25 to 34 years",417    ,334    ,80.2    ,311    ,74.7    ,23    ,6.8    ,4.8  ,–,8.8  
01,43,Alabama,"White, 35 to 44 years",448    ,356    ,79.5    ,342    ,76.2    ,15    ,4.1    ,2.6  ,–,5.6  
01,44,Alabama,"White, 45 to 54 years",448    ,336    ,75.1    ,323    ,72.2    ,13    ,4.0    ,2.5  ,–,5.5  
01,45,Alabama,"White, 55 to 64 years",498    ,282    ,56.6    ,276    ,55.4    ,6    ,2.2    ,1.0  ,–,3.4  
01,46,Alabama,"White, 65 years and over",538    ,94    ,17.4    ,92    ,17.0    ,2    ,2.2    ,0.1  ,–,4.3  
01,48,Alabama,"Black or African American, 20 to 24 years",125    ,71    ,56.5    ,53    ,42.6    ,17    ,24.5    ,15.0  ,–,34.0  
01,49,Alabama,"Black or African American, 25 to 34 years",143    ,109    ,76.5    ,94    ,66.0    ,15    ,13.8    ,8.0  ,–,19.6  
01,50,Alabama,"Black or African American, 35 to 44 years",155    ,105    ,67.7    ,97    ,62.7    ,8    ,7.4    ,3.1  ,–,11.7  
01,51,Alabama,"Black or African American, 45 to 54 years",154    ,102    ,66.1    ,95    ,61.6    ,7    ,6.9    ,2.7  ,–,11.1  
01,52,Alabama,"Black or African American, 55 to 64 years",162    ,76    ,46.8    ,72    ,44.3    ,4    ,5.5    ,1.1  ,–,9.9  
02,01,Alaska,Total,537    ,364    ,67.7    ,340    ,63.2    ,24    ,6.6    ,5.6  ,–,7.6  
02,02,Alaska,Men,274    ,198    ,72.3    ,182    ,66.7    ,15    ,7.7    ,6.2  ,–,9.2  
02,03,Alaska,Women,264    ,166    ,63.0    ,157    ,59.6    ,9    ,5.3    ,3.9  ,–,6.7  
02,04,Alaska,White,404    ,276    ,68.4    ,261    ,64.6    ,15    ,5.5    ,4.4  ,–,6.6  
02,05,Alaska,"White, men",209    ,152    ,72.7    ,142    ,67.9    ,10    ,6.5    ,4.9  ,–,8.1  
02,06,Alaska,"White, women",195    ,125    ,63.9    ,119    ,61.1    ,5    ,4.3    ,2.9  ,–,5.7  
02,10,Alaska,Asian,34    ,24    ,69.5    ,23    ,67.7    ,1    ,2.6    ,( 2 ),–,( 2 )
02,13,Alaska,Hispanic or Latino ethnicity,35    ,26    ,76.5    ,24    ,69.8    ,2    ,8.7    ,1.5  ,–,15.9  
02,14,Alaska,"Hispanic or Latino ethnicity, men",18    ,15    ,83.1    ,13    ,75.0    ,1    ,9.7    ,( 2 ),–,( 2 )
02,16,Alaska,"Married men, spouse present",139    ,107    ,76.9    ,103    ,73.8    ,4    ,4.0    ,2.5  ,–,5.5  
02,17,Alaska,"Married women, spouse present",137    ,87    ,63.8    ,84    ,61.2    ,3    ,4.0    ,2.3  ,–,5.7  
02,18,Alaska,Women who maintain families,28    ,21    ,74.7    ,19    ,70.5    ,1    ,5.6    ,1.6  ,–,9.6  
02,19,Alaska,"Total, 16 to 19 years",44    ,19    ,42.1    ,15    ,34.7    ,3    ,17.5    ,10.0  ,–,25.0  
02,20,Alaska,"Total, 20 to 24 years",52    ,38    ,73.5    ,34    ,66.1    ,4    ,10.1    ,6.1  ,–,14.1  
02,21,Alaska,"Total, 25 to 34 years",103    ,82    ,80.2    ,76    ,74.2    ,6    ,7.4    ,5.1  ,–,9.7  
02,22,Alaska,"Total, 35 to 44 years",81    ,67    ,82.9    ,65    ,79.7    ,3    ,3.8    ,2.0  ,–,5.6  
02,23,Alaska,"Total, 45 to 54 years",95    ,79    ,83.0    ,75    ,78.5    ,4    ,5.4    ,3.4  ,–,7.4  
02,24,Alaska,"Total, 55 to 64 years",93    ,62    ,67.2    ,59    ,63.5    ,3    ,5.6    ,3.3  ,–,7.9  
02,25,Alaska,"Total, 65 years and over",69    ,16    ,23.0    ,15    ,22.1    ,1    ,3.7    ,( 2 ),–,( 2 )
02,27,Alaska,"Men, 20 to 24 years",26    ,21    ,78.5    ,19    ,70.6    ,2    ,10.1    ,4.7  ,–,15.5  
02,28,Alaska,"Men, 25 to 34 years",51    ,45    ,89.4    ,42    ,82.1    ,4    ,8.2    ,4.9  ,–,11.5  
02,29,Alaska,"Men, 35 to 44 years",40    ,35    ,85.7    ,33    ,81.4    ,2    ,5.0    ,2.1  ,–,7.9  
02,30,Alaska,"Men, 45 to 54 years",49    ,44    ,88.4    ,41    ,83.0    ,3    ,6.1    ,3.2  ,–,9.0  
02,31,Alaska,"Men, 55 to 64 years",48    ,34    ,70.4    ,32    ,65.9    ,2    ,6.5    ,3.1  ,–,9.9  
02,34,Alaska,"Women, 20 to 24 years",25    ,17    ,68.3    ,16    ,61.4    ,2    ,10.1    ,4.2  ,–,16.0  
02,35,Alaska,"Women, 25 to 34 years",52    ,37    ,71.1    ,35    ,66.6    ,2    ,6.4    ,3.2  ,–,9.6  
02,36,Alaska,"Women, 35 to 44 years",41    ,33    ,80.1    ,32    ,78.0    ,1    ,2.6    ,0.4  ,–,4.8  
02,37,Alaska,"Women, 45 to 54 years",46    ,36    ,77.2    ,34    ,73.7    ,2    ,4.5    ,1.8  ,–,7.2  
02,38,Alaska,"Women, 55 to 64 years",44    ,28    ,63.7    ,27    ,60.9    ,1    ,4.5    ,1.4  ,–,7.6  
02,40,Alaska,"White, 16 to 19 years",32    ,15    ,46.6    ,13    ,39.9    ,2    ,14.3    ,6.7  ,–,21.9  
02,41,Alaska,"White, 20 to 24 years",35    ,26    ,75.3    ,24    ,69.1    ,2    ,8.2    ,3.9  ,–,12.5  
02,42,Alaska,"White, 25 to 34 years",72    ,58    ,80.4    ,54    ,75.1    ,4    ,6.6    ,4.0  ,–,9.2  
02,43,Alaska,"White, 35 to 44 years",62    ,52    ,83.8    ,51    ,81.6    ,1    ,2.7    ,1.0  ,–,4.4  
02,44,Alaska,"White, 45 to 54 years",75    ,62    ,83.8    ,60    ,80.3    ,3    ,4.2    ,2.2  ,–,6.2  
02,45,Alaska,"White, 55 to 64 years",74    ,50    ,67.2    ,47    ,63.6    ,3    ,5.3    ,2.8  ,–,7.8  
02,46,Alaska,"White, 65 years and over",55    ,13    ,23.9    ,13    ,23.1    ,( 3 ),3.4    ,( 2 ),–,( 2 )
04,01,Arizona,Total,"5,077    ","3,012    ",59.3    ,"2,770    ",54.6    ,242    ,8.0    ,7.3  ,–,8.7  
04,02,Arizona,Men,"2,470    ","1,626    ",65.8    ,"1,492    ",60.4    ,134    ,8.2    ,7.2  ,–,9.2  
04,03,Arizona,Women,"2,607    ","1,386    ",53.2    ,"1,278    ",49.0    ,109    ,7.8    ,6.7  ,–,8.9  
04,04,Arizona,White,"4,321    ","2,582    ",59.7    ,"2,396    ",55.4    ,186    ,7.2    ,6.4  ,–,8.0  
04,05,Arizona,"White, men","2,098    ","1,395    ",66.5    ,"1,294    ",61.7    ,101    ,7.2    ,6.2  ,–,8.2  
04,06,Arizona,"White, women","2,223    ","1,187    ",53.4    ,"1,101    ",49.5    ,86    ,7.2    ,6.1  ,–,8.3  
04,07,Arizona,Black or African American,238    ,138    ,58.0    ,117    ,49.1    ,21    ,15.3    ,11.0  ,–,19.6  
04,08,Arizona,"Black or African American, men",114    ,74    ,65.0    ,62    ,54.9    ,12    ,15.6    ,9.6  ,–,21.6  
04,09,Arizona,"Black or African American, women",124    ,64    ,51.6    ,55    ,43.8    ,10    ,15.1    ,8.7  ,–,21.5  
04,10,Arizona,Asian,190    ,108    ,57.0    ,97    ,50.9    ,11    ,10.6    ,6.5  ,–,14.7  
04,11,Arizona,"Asian, men",77    ,54    ,69.9    ,47    ,60.7    ,7    ,13.2    ,6.7  ,–,19.7  
04,12,Arizona,"Asian, women",112    ,54    ,48.1    ,50    ,44.2    ,4    ,8.0    ,2.9  ,–,13.1  
04,13,Arizona,Hispanic or Latino ethnicity,"1,532    ",929    ,60.6    ,841    ,54.9    ,88    ,9.4    ,7.9  ,–,10.9  
04,14,Arizona,"Hispanic or Latino ethnicity, men",752    ,532    ,70.7    ,480    ,63.7    ,52    ,9.8    ,7.8  ,–,11.8  
04,15,Arizona,"Hispanic or Latino ethnicity, women",780    ,397    ,50.9    ,362    ,46.4    ,36    ,8.9    ,6.7  ,–,11.1  
04,16,Arizona,"Married men, spouse present","1,273    ",899    ,70.6    ,862    ,67.7    ,37    ,4.1    ,3.1  ,–,5.1  
04,17,Arizona,"Married women, spouse present","1,271    ",674    ,53.0    ,645    ,50.7    ,29    ,4.3    ,3.1  ,–,5.5  
04,18,Arizona,Women who maintain families,287    ,174    ,60.6    ,160    ,55.7    ,14    ,8.1    ,5.0  ,–,11.2  
04,19,Arizona,"Total, 16 to 19 years",348    ,110    ,31.7    ,78    ,22.4    ,32    ,29.4    ,21.9  ,–,36.9  
04,20,Arizona,"Total, 20 to 24 years",428    ,298    ,69.5    ,250    ,58.3    ,48    ,16.1    ,12.7  ,–,19.5  
04,21,Arizona,"Total, 25 to 34 years",869    ,669    ,77.0    ,620    ,71.4    ,48    ,7.2    ,5.7  ,–,8.7  
04,22,Arizona,"Total, 35 to 44 years",832    ,656    ,78.9    ,622    ,74.8    ,34    ,5.2    ,3.9  ,–,6.5  
04,23,Arizona,"Total, 45 to 54 years",875    ,653    ,74.7    ,611    ,69.8    ,42    ,6.5    ,5.1  ,–,7.9  
04,24,Arizona,"Total, 55 to 64 years",795    ,472    ,59.4    ,449    ,56.5    ,23    ,4.8    ,3.3  ,–,6.3  
04,25,Arizona,"Total, 65 years and over",930    ,154    ,16.6    ,140    ,15.0    ,14    ,9.3    ,5.7  ,–,12.9  
04,26,Arizona,"Men, 16 to 19 years",178    ,62    ,34.6    ,43    ,24.3    ,18    ,29.8    ,19.7  ,–,39.9  
04,27,Arizona,"Men, 20 to 24 years",214    ,162    ,75.7    ,134    ,62.4    ,28    ,17.5    ,12.7  ,–,22.3  
04,28,Arizona,"Men, 25 to 34 years",425    ,362    ,85.2    ,330    ,77.8    ,32    ,8.8    ,6.5  ,–,11.1  
04,29,Arizona,"Men, 35 to 44 years",422    ,374    ,88.8    ,359    ,85.2    ,15    ,4.1    ,2.6  ,–,5.6  
04,30,Arizona,"Men, 45 to 54 years",422    ,344    ,81.5    ,322    ,76.3    ,22    ,6.5    ,4.5  ,–,8.5  
04,31,Arizona,"Men, 55 to 64 years",368    ,236    ,64.0    ,226    ,61.4    ,10    ,4.1    ,2.2  ,–,6.0  
04,32,Arizona,"Men, 65 years and over",440    ,86    ,19.5    ,78    ,17.6    ,8    ,9.5    ,4.7  ,–,14.3  
04,33,Arizona,"Women, 16 to 19 years",169    ,49    ,28.7    ,35    ,20.4    ,14    ,28.9    ,17.7  ,–,40.1  
04,34,Arizona,"Women, 20 to 24 years",214    ,135    ,63.3    ,116    ,54.2    ,19    ,14.3    ,9.6  ,–,19.0  
04,35,Arizona,"Women, 25 to 34 years",444    ,307    ,69.1    ,290    ,65.3    ,17    ,5.5    ,3.5  ,–,7.5  
04,36,Arizona,"Women, 35 to 44 years",410    ,282    ,68.7    ,263    ,64.1    ,19    ,6.7    ,4.5  ,–,8.9  
04,37,Arizona,"Women, 45 to 54 years",453    ,309    ,68.3    ,289    ,63.9    ,20    ,6.5    ,4.4  ,–,8.6  
04,38,Arizona,"Women, 55 to 64 years",427    ,236    ,55.3    ,223    ,52.3    ,13    ,5.5    ,3.3  ,–,7.7  
04,39,Arizona,"Women, 65 years and over",490    ,68    ,13.9    ,62    ,12.7    ,6    ,9.1    ,3.8  ,–,14.4  
04,40,Arizona,"White, 16 to 19 years",262    ,92    ,35.1    ,66    ,25.2    ,26    ,28.1    ,20.1  ,–,36.1  
04,41,Arizona,"White, 20 to 24 years",328    ,240    ,73.2    ,201    ,61.2    ,39    ,16.3    ,12.5  ,–,20.1  
04,42,Arizona,"White, 25 to 34 years",748    ,577    ,77.2    ,544    ,72.7    ,33    ,5.8    ,4.3  ,–,7.3  
04,43,Arizona,"White, 35 to 44 years",712    ,564    ,79.2    ,538    ,75.6    ,26    ,4.6    ,3.3  ,–,5.9  
04,44,Arizona,"White, 45 to 54 years",729    ,551    ,75.6    ,517    ,70.8    ,35    ,6.3    ,4.7  ,–,7.9  
04,45,Arizona,"White, 55 to 64 years",699    ,415    ,59.3    ,401    ,57.4    ,14    ,3.3    ,2.0  ,–,4.6  
04,46,Arizona,"White, 65 years and over",843    ,142    ,16.9    ,129    ,15.3    ,14    ,9.5    ,5.8  ,–,13.2  
04,50,Arizona,"Black or African American, 35 to 44 years",46    ,36    ,78.7    ,32    ,69.6    ,4    ,11.6    ,4.0  ,–,19.2  
04,51,Arizona,"Black or African American, 45 to 54 years",46    ,33    ,72.6    ,32    ,68.6    ,2    ,5.4    ,( 2 ),–,( 2 )
04,61,Arizona,"Hispanic or Latino ethnicity, 16 to 19 years",159    ,43    ,26.8    ,28    ,18.0    ,14    ,33.0    ,19.9  ,–,46.1  
04,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",172    ,124    ,71.8    ,98    ,57.0    ,25    ,20.5    ,14.5  ,–,26.5  
04,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",322    ,241    ,74.7    ,223    ,69.1    ,18    ,7.5    ,4.9  ,–,10.1  
04,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",330    ,252    ,76.4    ,239    ,72.3    ,13    ,5.3    ,3.1  ,–,7.5  
04,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",202    ,152    ,75.1    ,140    ,69.2    ,12    ,7.8    ,4.4  ,–,11.2  
04,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",177    ,90    ,51.1    ,88    ,49.8    ,2    ,2.7    ,0.1  ,–,5.3  
05,01,Arkansas,Total,"2,276    ","1,306    ",57.4    ,"1,204    ",52.9    ,102    ,7.8    ,6.9  ,–,8.7  
05,02,Arkansas,Men,"1,093    ",696    ,63.7    ,642    ,58.7    ,55    ,7.9    ,6.7  ,–,9.1  
05,03,Arkansas,Women,"1,183    ",610    ,51.6    ,563    ,47.6    ,47    ,7.8    ,6.5  ,–,9.1  
05,04,Arkansas,White,"1,842    ","1,063    ",57.7    ,995    ,54.0    ,68    ,6.4    ,5.5  ,–,7.3  
05,05,Arkansas,"White, men",899    ,576    ,64.1    ,539    ,59.9    ,38    ,6.5    ,5.3  ,–,7.7  
05,06,Arkansas,"White, women",943    ,487    ,51.6    ,457    ,48.4    ,30    ,6.2    ,4.9  ,–,7.5  
05,07,Arkansas,Black or African American,327    ,182    ,55.9    ,152    ,46.7    ,30    ,16.5    ,12.3  ,–,20.7  
05,08,Arkansas,"Black or African American, men",147    ,85    ,57.7    ,70    ,47.7    ,15    ,17.4    ,11.0  ,–,23.8  
05,09,Arkansas,"Black or African American, women",180    ,98    ,54.3    ,82    ,45.8    ,15    ,15.7    ,10.0  ,–,21.4  
05,10,Arkansas,Asian,58    ,35    ,60.4    ,33    ,57.1    ,2    ,5.4    ,1.4  ,–,9.4  
05,13,Arkansas,Hispanic or Latino ethnicity,133    ,89    ,67.1    ,82    ,61.7    ,7    ,8.0    ,4.4  ,–,11.6  
05,14,Arkansas,"Hispanic or Latino ethnicity, men",74    ,57    ,77.2    ,53    ,71.4    ,4    ,7.5    ,3.1  ,–,11.9  
05,15,Arkansas,"Hispanic or Latino ethnicity, women",59    ,32    ,54.4    ,29    ,49.6    ,3    ,8.9    ,2.5  ,–,15.3  
05,16,Arkansas,"Married men, spouse present",599    ,397    ,66.3    ,378    ,63.1    ,20    ,4.9    ,3.6  ,–,6.2  
05,17,Arkansas,"Married women, spouse present",587    ,314    ,53.5    ,299    ,51.0    ,14    ,4.6    ,3.2  ,–,6.0  
05,18,Arkansas,Women who maintain families,177    ,102    ,57.5    ,91    ,51.4    ,11    ,10.6    ,6.8  ,–,14.4  
05,19,Arkansas,"Total, 16 to 19 years",150    ,49    ,32.8    ,34    ,22.4    ,16    ,31.6    ,22.2  ,–,41.0  
05,20,Arkansas,"Total, 20 to 24 years",209    ,147    ,70.1    ,124    ,59.1    ,23    ,15.6    ,11.8  ,–,19.4  
05,21,Arkansas,"Total, 25 to 34 years",372    ,288    ,77.2    ,270    ,72.5    ,18    ,6.1    ,4.4  ,–,7.8  
05,22,Arkansas,"Total, 35 to 44 years",352    ,273    ,77.5    ,259    ,73.6    ,14    ,5.1    ,3.5  ,–,6.7  
05,23,Arkansas,"Total, 45 to 54 years",408    ,302    ,74.0    ,285    ,69.8    ,17    ,5.7    ,4.1  ,–,7.3  
05,24,Arkansas,"Total, 55 to 64 years",341    ,185    ,54.2    ,175    ,51.3    ,10    ,5.5    ,3.5  ,–,7.5  
05,25,Arkansas,"Total, 65 years and over",444    ,64    ,14.4    ,59    ,13.3    ,5    ,7.4    ,3.4  ,–,11.4  
05,26,Arkansas,"Men, 16 to 19 years",82    ,26    ,31.9    ,18    ,21.3    ,9    ,33.3    ,20.1  ,–,46.5  
05,27,Arkansas,"Men, 20 to 24 years",98    ,77    ,78.5    ,65    ,66.1    ,12    ,15.9    ,10.6  ,–,21.2  
05,28,Arkansas,"Men, 25 to 34 years",184    ,167    ,90.6    ,157    ,85.3    ,10    ,5.9    ,3.7  ,–,8.1  
05,29,Arkansas,"Men, 35 to 44 years",168    ,146    ,87.2    ,139    ,82.8    ,7    ,5.0    ,2.8  ,–,7.2  
05,30,Arkansas,"Men, 45 to 54 years",199    ,151    ,76.0    ,143    ,71.8    ,8    ,5.5    ,3.3  ,–,7.7  
05,31,Arkansas,"Men, 55 to 64 years",159    ,96    ,60.5    ,91    ,57.2    ,5    ,5.5    ,2.7  ,–,8.3  
05,32,Arkansas,"Men, 65 years and over",203    ,32    ,16.0    ,29    ,14.5    ,3    ,9.2    ,3.0  ,–,15.4  
05,34,Arkansas,"Women, 20 to 24 years",111    ,70    ,62.6    ,59    ,53.0    ,11    ,15.4    ,9.9  ,–,20.9  
05,35,Arkansas,"Women, 25 to 34 years",188    ,121    ,64.1    ,113    ,60.0    ,8    ,6.4    ,3.7  ,–,9.1  
05,36,Arkansas,"Women, 35 to 44 years",184    ,126    ,68.7    ,120    ,65.1    ,7    ,5.2    ,2.8  ,–,7.6  
05,37,Arkansas,"Women, 45 to 54 years",209    ,151    ,72.1    ,142    ,67.8    ,9    ,6.0    ,3.7  ,–,8.3  
05,38,Arkansas,"Women, 55 to 64 years",181    ,88    ,48.7    ,84    ,46.1    ,5    ,5.4    ,2.5  ,–,8.3  
05,39,Arkansas,"Women, 65 years and over",241    ,31    ,13.0    ,30    ,12.3    ,2    ,5.6    ,0.6  ,–,10.6  
05,40,Arkansas,"White, 16 to 19 years",112    ,38    ,33.9    ,26    ,23.5    ,12    ,30.7    ,20.2  ,–,41.2  
05,41,Arkansas,"White, 20 to 24 years",158    ,112    ,71.3    ,103    ,65.3    ,10    ,8.5    ,5.3  ,–,11.7  
05,42,Arkansas,"White, 25 to 34 years",287    ,229    ,79.8    ,216    ,75.2    ,13    ,5.8    ,3.9  ,–,7.7  
05,43,Arkansas,"White, 35 to 44 years",269    ,210    ,78.2    ,202    ,75.1    ,8    ,4.0    ,2.4  ,–,5.6  
05,44,Arkansas,"White, 45 to 54 years",340    ,255    ,74.9    ,243    ,71.3    ,12    ,4.8    ,3.2  ,–,6.4  
05,45,Arkansas,"White, 55 to 64 years",281    ,159    ,56.6    ,151    ,53.7    ,8    ,5.1    ,3.0  ,–,7.2  
05,46,Arkansas,"White, 65 years and over",396    ,59    ,15.0    ,55    ,13.8    ,5    ,7.7    ,3.5  ,–,11.9  
05,48,Arkansas,"Black or African American, 20 to 24 years",43    ,30    ,69.2    ,17    ,39.9    ,13    ,42.4    ,25.4  ,–,59.4  
05,49,Arkansas,"Black or African American, 25 to 34 years",54    ,41    ,74.7    ,37    ,67.6    ,4    ,9.6    ,2.6  ,–,16.6  
05,50,Arkansas,"Black or African American, 35 to 44 years",54    ,40    ,73.5    ,36    ,65.7    ,4    ,10.7    ,3.2  ,–,18.2  
05,51,Arkansas,"Black or African American, 45 to 54 years",55    ,39    ,69.7    ,34    ,61.9    ,4    ,11.3    ,3.5  ,–,19.1  
05,52,Arkansas,"Black or African American, 55 to 64 years",53    ,23    ,43.6    ,21    ,40.2    ,2    ,7.8    ,( 2 ),–,( 2 )
05,63,Arkansas,"Hispanic or Latino ethnicity, 25 to 34 years",35    ,25    ,72.3    ,24    ,68.4    ,1    ,5.3    ,( 2 ),–,( 2 )
06,01,California,Total,"29,683    ","18,657    ",62.9    ,"17,001    ",57.3    ,"1,657    ",8.9    ,8.6  ,–,9.2  
06,02,California,Men,"14,505    ","10,218    ",70.4    ,"9,289    ",64.0    ,929    ,9.1    ,8.7  ,–,9.5  
06,03,California,Women,"15,178    ","8,439    ",55.6    ,"7,711    ",50.8    ,728    ,8.6    ,8.2  ,–,9.0  
06,04,California,White,"22,037    ","13,888    ",63.0    ,"12,695    ",57.6    ,"1,194    ",8.6    ,8.3  ,–,8.9  
06,05,California,"White, men","10,911    ","7,751    ",71.0    ,"7,082    ",64.9    ,668    ,8.6    ,8.2  ,–,9.0  
06,06,California,"White, women","11,126    ","6,138    ",55.2    ,"5,612    ",50.4    ,525    ,8.6    ,8.1  ,–,9.1  
06,07,California,Black or African American,"1,887    ","1,052    ",55.8    ,887    ,47.0    ,165    ,15.7    ,14.2  ,–,17.2  
06,08,California,"Black or African American, men",889    ,521    ,58.6    ,434    ,48.8    ,87    ,16.7    ,14.4  ,–,19.0  
06,09,California,"Black or African American, women",999    ,531    ,53.2    ,453    ,45.4    ,78    ,14.7    ,12.6  ,–,16.8  
06,10,California,Asian,"4,309    ","2,781    ",64.5    ,"2,601    ",60.4    ,180    ,6.5    ,5.9  ,–,7.1  
06,11,California,"Asian, men","1,986    ","1,424    ",71.7    ,"1,323    ",66.6    ,101    ,7.1    ,6.2  ,–,8.0  
06,12,California,"Asian, women","2,324    ","1,357    ",58.4    ,"1,277    ",55.0    ,80    ,5.9    ,5.0  ,–,6.8  
06,13,California,Hispanic or Latino ethnicity,"10,372    ","6,787    ",65.4    ,"6,095    ",58.8    ,692    ,10.2    ,9.7  ,–,10.7  
